"timestamp"	"lat [deg]"	"lon [deg]"	"sog [kn]"	"draught [m]"	"heading [deg]"	"cog [deg]"	"rot [deg/min]"
2017-02-26T23:30:52	54.38905	10.197488	10.2	4.7	20	19.3	0	
2017-02-26T23:31:02	54.389495	10.197763	10.2	4.7	20	19.7	0	
2017-02-26T23:31:14	54.389985	10.198062	10.2	4.7	20	19.7	0	
2017-02-26T23:31:23	54.390428	10.198342	10.2	4.7	20	20.2	0	
2017-02-26T23:31:33	54.390868	10.198628	10.2	4.7	21	20.6	0	
2017-02-26T23:31:43	54.391267	10.19888	10.2	4.7	21	20.5	0	
2017-02-26T23:31:52	54.39166	10.199153	10.2	4.7	19	21.4	0	
2017-02-26T23:32:02	54.392142	10.199467	10.1	4.7	18	20.9	0	
2017-02-26T23:32:14	54.392677	10.199773	10.1	4.7	18	19.2	0	
2017-02-26T23:32:23	54.393075	10.200002	10.1	4.7	17	18.8	0	
2017-02-26T23:32:33	54.393522	10.200245	10.1	4.7	17	18	0	
2017-02-26T23:32:43	54.39397	10.200485	10.1	4.7	18	17.6	0	
2017-02-26T23:32:52	54.394375	10.200698	10.1	4.7	18	17.4	0	
2017-02-26T23:33:02	54.394818	10.200945	10.1	4.7	18	17.8	0	
2017-02-26T23:33:14	54.39531	10.201205	10.1	4.7	18	17.4	0	
2017-02-26T23:33:23	54.395758	10.201447	10.1	4.7	18	17.6	0	
2017-02-26T23:33:33	54.396158	10.201668	10.1	4.7	18	17.9	0	
2017-02-26T23:33:43	54.396607	10.201915	10.1	4.7	19	17.9	0	
2017-02-26T23:33:52	54.397052	10.202165	10.1	4.7	18	18.3	0	
2017-02-26T23:34:02	54.397497	10.202417	10.1	4.7	18	18.4	0	
2017-02-26T23:34:14	54.397987	10.202685	10.1	4.7	18	18.1	0	
2017-02-26T23:34:20	54.397987	10.202685	10.1	4.7	18	18.1	0	
2017-02-26T23:34:23	54.39843	10.202932	10.1	4.7	18	18.1	0	
2017-02-26T23:34:33	54.398873	10.203177	10.1	4.7	18	18.1	0	
2017-02-26T23:34:43	54.399318	10.203423	10.1	4.7	18	18.1	0	
2017-02-26T23:34:52	54.399673	10.203625	10.1	4.7	18	18.3	0	
2017-02-26T23:35:02	54.400162	10.203895	10.1	4.7	18	18.1	0	
2017-02-26T23:35:13	54.400603	10.204142	10.1	4.7	18	18.2	0	
2017-02-26T23:35:23	54.401047	10.204383	10	4.7	19	18	0	
2017-02-26T23:35:34	54.40158	10.204675	10	4.7	20	18	0	
2017-02-26T23:35:43	54.401973	10.204912	10	4.7	20	18.7	0	
2017-02-26T23:35:54	54.402408	10.205182	10	4.7	20	19.3	0	
2017-02-26T23:36:02	54.4028	10.205432	10	4.7	20	19.9	0	
2017-02-26T23:36:13	54.403233	10.205705	10	4.7	20	20	0	
2017-02-26T23:36:23	54.40371	10.206005	10	4.7	21	20	0	
2017-02-26T23:36:34	54.404143	10.206287	10	4.7	20	20.4	0	
2017-02-26T23:36:43	54.404528	10.20655	10	4.7	20	21.1	0	
2017-02-26T23:36:54	54.405003	10.206858	10	4.7	20	20.7	0	
2017-02-26T23:37:02	54.40535	10.20708	10	4.7	20	20.6	0	
2017-02-26T23:37:13	54.405827	10.207392	10	4.7	20	20.6	0	
2017-02-26T23:37:22	54.406262	10.207667	10	4.7	20	20.2	0	
2017-02-26T23:37:34	54.406738	10.207972	10	4.7	20	20.3	0	
2017-02-26T23:37:42	54.407128	10.208218	10	4.7	20	20.2	0	
2017-02-26T23:37:54	54.407605	10.208528	10	4.7	19	20.5	0	
2017-02-26T23:38:02	54.407998	10.208773	10	4.7	20	20.2	0	
2017-02-26T23:38:13	54.408435	10.20905	10	4.7	20	20.2	0	
2017-02-26T23:38:22	54.408825	10.209308	10	4.7	19	20.6	0	
2017-02-26T23:38:34	54.40935	10.209635	10	4.7	19	20	0	
2017-02-26T23:38:42	54.4097	10.209845	10	4.7	19	19.5	0	
2017-02-26T23:38:54	54.410223	10.21017	10	4.7	19	19.7	0	
2017-02-26T23:39:04	54.410665	10.210422	10	4.7	20	18.8	0	
2017-02-26T23:39:13	54.411107	10.210677	10	4.7	21	18.7	0	
2017-02-26T23:39:22	54.411502	10.210923	10	4.7	23	19.2	0	
2017-02-26T23:39:34	54.411983	10.21124	10	4.7	25	20.4	0	
2017-02-26T23:39:42	54.412368	10.211522	10	4.7	26	21.9	0	
2017-02-26T23:39:52	54.412788	10.211857	10	4.7	26	23.6	0	
2017-02-26T23:40:13	54.413618	10.212538	9.9	4.7	25	25.2	0	
2017-02-26T23:40:20	54.413618	10.212538	9.9	4.7	25	25.2	0	
2017-02-26T23:40:22	54.413995	10.212838	9.9	4.7	26	25	0	
2017-02-26T23:40:34	54.414493	10.213252	10	4.7	27	25.5	0	
2017-02-26T23:40:42	54.414867	10.213565	10	4.7	27	25.8	0	
2017-02-26T23:40:52	54.415278	10.213927	10	4.7	27	26.6	0	
2017-02-26T23:41:13	54.416102	10.214653	10	4.7	27	27.2	0	
2017-02-26T23:41:22	54.416508	10.215022	9.9	4.7	27	27.5	0	
2017-02-26T23:41:33	54.41696	10.215422	9.9	4.7	27	27.3	0	
2017-02-26T23:41:52	54.417742	10.21611	10	4.7	27	27	0	
2017-02-26T23:42:04	54.418192	10.21651	10	4.7	27	27.2	0	
2017-02-26T23:42:13	54.418562	10.216837	10	4.7	27	27	0	
2017-02-26T23:42:22	54.418972	10.2172	10	4.7	27	27.2	0	
2017-02-26T23:42:33	54.419423	10.217602	10	4.7	27	27.3	0	
2017-02-26T23:42:52	54.420212	10.218285	10	4.7	27	26.7	0	
2017-02-26T23:43:04	54.420665	10.218687	10	4.7	27	27.1	0	
2017-02-26T23:43:13	54.421032	10.219027	10	4.7	27	27.8	0	
