"mmsi"	"imo_from_data_set"	"imo_from_ship_db"	"name_from_data_set"	"name_from_ship_db"	"iwrap_type_from_dataset"	"org_type_info_from_data"	"iwrap_type_from_ship_db"	"org_type_from_ship_db"	"length_from_data_set"	"length_from_ship_db"	"height_1"	"height_2"	"height_3"	"depth"	"width"	"size_a"	"size_b"	"size_c"	"size_d"	"class_b"
245176000	9423657	0	"SPRINTER"	""	"General cargo ship"	"Cargo"	""	""	90	-1	-1	-1	-1	-1	12	10	80	6	6	0
538005553	9436393	0	"BRENTHOLMEN"	""	"Oil products tanker"	"Tanker"	""	""	144	-1	-1	-1	-1	-1	22	126	18	11	11	0
236039000	9138185	0	"BALTIC SKIPPER"	""	"General cargo ship"	"Cargo"	""	""	82	-1	-1	-1	-1	-1	12	71	11	6	6	0
211223120	8308733	0	"HEIKENDORF"	""	"Other ship"	"Undefined"	""	""	33	-1	-1	-1	-1	-1	8	10	23	6	2	0
311045200	9051210	0	"FORTUNA"	""	"General cargo ship"	"Cargo"	""	""	87	-1	-1	-1	-1	-1	13	74	13	8	5	0
219005302	0	0	"ND8 KIRSTINE KELLER"	""	"Fishing ship"	"Fishing"	""	""	12	-1	-1	-1	-1	-1	4	3	9	2	2	0
211222720	8917704	0	"FALCKENSTEIN"	""	"Other ship"	"Undefined"	""	""	27	-1	-1	-1	-1	-1	8	8	19	3	5	0
211188000	9151541	0	"DEUTSCHLAND"	""	"Passenger ship"	"Passenger"	""	""	141	-1	-1	-1	-1	-1	24	17	124	12	12	0
211543450	0	0	"STADT BARTH"	""	"Passenger ship"	"Passenger"	""	""	26	-1	-1	-1	-1	-1	6	7	19	5	1	0
992111923	0	0	"BALTIC2 WINDFARM SW"	""	"Other ship"	"Undefined"	""	""	8	-1	-1	-1	-1	-1	12	4	4	4	8	0
992111840	0	0	"WIND FARM BALTIC1NW"	""	"Other ship"	"Undefined"	""	""	60	-1	-1	-1	-1	-1	60	30	30	30	30	0
255805557	9297589	0	"ALANA"	""	"General cargo ship"	"Cargo"	""	""	149	-1	-1	-1	-1	-1	22	139	10	13	9	0
209223000	9246918	0	"AMETHYST"	""	"Oil products tanker"	"Tanker"	""	""	93	-1	-1	-1	-1	-1	13	74	19	7	6	0
265874000	8618358	0	"HUCKLEBERRY FINN"	""	"Passenger ship"	"Passenger"	""	""	177	-1	-1	-1	-1	-1	26	19	158	13	13	0
246355000	7510793	0	"MISKA"	""	"General cargo ship"	"Cargo"	""	""	80	-1	-1	-1	-1	-1	9	70	10	5	4	0
211794540	0	0	"KITTI WAKE"	""	"Pleasure boat"	"Pleasure"	""	""	11	-1	-1	-1	-1	-1	7	6	5	4	3	0
277504000	9350680	0	"ATHENA SEAWAYS"	""	"Passenger ship"	"Passenger"	""	""	199	-1	-1	-1	-1	-1	26	15	184	13	13	0
256662000	9584499	0	"WOOLLOOMOOLOO"	""	"General cargo ship"	"Cargo"	""	""	225	-1	-1	-1	-1	-1	32	190	35	23	9	0
211265530	9173329	0	"RAGNA"	""	"General cargo ship"	"Cargo"	""	""	96	-1	-1	-1	-1	-1	19	86	10	16	3	0
212519000	9115987	0	"ANJA"	""	"General cargo ship"	"Cargo"	""	""	85	-1	-1	-1	-1	-1	13	73	12	7	6	0
219007678	0	0	"BIRKHOLM"	""	"Other ship"	"Military"	""	""	29	-1	-1	-1	-1	-1	7	14	15	2	5	0
305502000	9536064	0	"BIRGIT G"	""	"General cargo ship"	"Cargo"	""	""	88	-1	-1	-1	-1	-1	13	76	12	7	6	0
244828000	9399387	0	"LAUWERSBORG"	""	"Other ship"	"Undefined"	""	""	123	-1	-1	-1	-1	-1	14	112	11	10	4	0
992111841	0	0	"WIND FARM BALTIC1SW"	""	"Other ship"	"Undefined"	""	""	6	-1	-1	-1	-1	-1	6	3	3	3	3	0
246125000	9313876	0	"STEENBANK"	""	"General cargo ship"	"Cargo"	""	""	89	-1	-1	-1	-1	-1	14	76	13	10	4	0
230630000	8609618	0	"PRIMA BALLERINA"	""	"General cargo ship"	"Cargo"	""	""	88	-1	-1	-1	-1	-1	12	71	17	6	6	0
377739000	9108439	0	"INGEBORG PILOT"	""	"General cargo ship"	"Cargo"	""	""	88	-1	-1	-1	-1	-1	11	73	15	3	8	0
248595000	9198290	0	"ANGELICA AN"	""	"Oil products tanker"	"Tanker"	""	""	183	-1	-1	-1	-1	-1	32	149	34	16	16	0
211727510	9587855	0	"BERLIN"	""	"Passenger ship"	"Passenger"	""	""	170	-1	-1	-1	-1	-1	27	22	148	15	12	0
477021900	9758583	0	"HUA XING HAI"	""	"General cargo ship"	"Cargo"	""	""	229	-1	-1	-1	-1	-1	33	201	28	21	12	0
219000692	0	0	"GITI ANKA"	""	"Pleasure boat"	"Sailing"	""	""	14	-1	-1	-1	-1	-1	4	7	7	2	2	0
265866000	9217242	0	"PETER PAN"	""	"Passenger ship"	"Passenger"	""	""	220	-1	-1	-1	-1	-1	30	21	199	15	15	0
266262000	9010163	0	"FINNPARTNER"	""	"Passenger ship"	"Passenger"	""	""	183	-1	-1	-1	-1	-1	28	11	172	14	14	0
211417590	9314583	0	"SOLEA"	""	"Fishing ship"	"Fishing"	""	""	42	-1	-1	-1	-1	-1	10	20	22	5	5	0
265463000	9133915	0	"SKANE"	""	"Passenger ship"	"Passenger"	""	""	200	-1	-1	-1	-1	-1	28	32	168	14	14	0
236354000	9369526	0	"RICHELIEU"	""	"General cargo ship"	"Cargo"	""	""	89	-1	-1	-1	-1	-1	12	81	8	6	6	0
218816000	9333345	0	"BEATE"	""	"General cargo ship"	"Cargo"	""	""	134	-1	-1	-1	-1	-1	22	120	14	11	11	0
518435000	8416798	0	"PEAK OSLO"	""	"General cargo ship"	"Cargo"	""	""	87	-1	-1	-1	-1	-1	10	77	10	5	5	0
