"timestamp"	"lat [deg]"	"lon [deg]"	"sog [kn]"	"draught [m]"	"heading [deg]"	"cog [deg]"	"rot [deg/min]"	"zone  [UTM]"	"band  [UTM]"	"easting [UTM]"	"northing [UTM]"
2018-11-01T00:00:01	54.54595	11.368583	13.3	0	294	295	2.2	32	U	653206	6046847
2018-11-01T00:00:12	54.546283	11.367433	13.4	0	294	295	2.9	32	U	653131	6046881
2018-11-01T00:00:21	54.546483	11.366667	13.4	0	295	295	6.4	32	U	653080	6046902
2018-11-01T00:00:32	54.546783	11.3656	13.4	0	296	295	7.5	32	U	653010	6046933
2018-11-01T00:00:43	54.5471	11.364567	13.4	0	297	296	6.4	32	U	652942	6046966
2018-11-01T00:00:52	54.547383	11.363717	13.4	0	298	297	3.6	32	U	652886	6046996
2018-11-01T00:01:01	54.54765	11.362883	13.4	0	299	298	2.2	32	U	652831	6047023
2018-11-01T00:01:13	54.548033	11.361783	13.4	0	299	299	2.2	32	U	652759	6047064
2018-11-01T00:01:21	54.5483	11.36105	13.4	0	299	299	2.9	32	U	652710	6047092
2018-11-01T00:01:32	54.548633	11.360033	13.4	0	300	299	5.4	32	U	652643	6047127
2018-11-01T00:01:43	54.548983	11.359033	13.4	0	300	300	3.6	32	U	652577	6047163
2018-11-01T00:01:52	54.549267	11.358217	13.4	0	301	300	2.9	32	U	652523	6047193
2018-11-01T00:02:01	54.549567	11.3574	13.4	0	301	301	0	32	U	652469	6047225
2018-11-01T00:02:13	54.549983	11.356333	13.4	0	301	302	0	32	U	652399	6047269
2018-11-01T00:02:21	54.55025	11.355617	13.4	0	301	302	-2.2	32	U	652352	6047297
2018-11-01T00:02:32	54.55065	11.35455	13.3	0	300	302	-2.9	32	U	652281	6047339
2018-11-01T00:02:42	54.550983	11.35365	13.3	0	300	302	-2.9	32	U	652222	6047374
2018-11-01T00:02:52	54.551283	11.35285	13.3	0	299	302	-3.6	32	U	652169	6047406
2018-11-01T00:02:57	54.551283	11.35285	13.3	12	299	302	-3.6	32	U	652169	6047406
2018-11-01T00:03:01	54.551583	11.352033	13.3	12	299	302	-2.2	32	U	652115	6047437
2018-11-01T00:03:13	54.551967	11.35095	13.3	12	299	301	-2.2	32	U	652043	6047478
2018-11-01T00:03:21	54.552217	11.350217	13.3	12	299	301	0	32	U	651995	6047504
2018-11-01T00:03:32	54.552583	11.349117	13.3	12	299	300	2.2	32	U	651923	6047542
2018-11-01T00:03:43	54.5529	11.3482	13.3	12	299	300	1.1	32	U	651862	6047576
2018-11-01T00:03:52	54.553167	11.347367	13.3	12	299	300	2.2	32	U	651807	6047604
2018-11-01T00:04:01	54.55345	11.34655	13.3	12	300	300	2.9	32	U	651753	6047633
2018-11-01T00:04:13	54.553833	11.34545	13.3	12	300	300	2.2	32	U	651681	6047674
2018-11-01T00:04:21	54.554083	11.344733	13.3	12	300	301	2.2	32	U	651634	6047700
2018-11-01T00:04:32	54.554483	11.343633	13.3	12	300	301	2.2	32	U	651561	6047742
2018-11-01T00:04:42	54.554783	11.342833	13.3	12	300	301	0	32	U	651508	6047774
2018-11-01T00:04:52	54.5551	11.341933	13.3	12	300	301	0	32	U	651449	6047807
2018-11-01T00:05:01	54.5554	11.341117	13.3	12	300	301	0	32	U	651395	6047839
2018-11-01T00:05:13	54.555783	11.340033	13.3	12	300	301	-3.6	32	U	651323	6047879
2018-11-01T00:05:21	54.55605	11.339317	13.3	12	300	301	-1.1	32	U	651276	6047907
2018-11-01T00:05:32	54.556433	11.338233	13.3	12	299	301	-2.2	32	U	651205	6047947
2018-11-01T00:05:42	54.556733	11.337417	13.3	12	299	301	-2.2	32	U	651151	6047979
2018-11-01T00:05:52	54.55705	11.3365	13.3	12	299	301	1.1	32	U	651090	6048012
2018-11-01T00:06:01	54.557333	11.335683	13.3	12	299	301	2.2	32	U	651036	6048042
2018-11-01T00:06:13	54.5577	11.3346	13.3	12	299	300	2.2	32	U	650965	6048080
2018-11-01T00:06:21	54.557933	11.333867	13.3	12	300	300	2.2	32	U	650917	6048105
2018-11-01T00:06:32	54.558317	11.332783	13.3	12	300	300	1.1	32	U	650845	6048145
2018-11-01T00:06:42	54.5586	11.331967	13.3	12	300	301	1.1	32	U	650792	6048175
2018-11-01T00:06:52	54.558933	11.331067	13.3	12	300	301	-1.1	32	U	650732	6048210
2018-11-01T00:07:01	54.559217	11.33025	13.3	12	300	301	-2.2	32	U	650678	6048240
2018-11-01T00:07:13	54.559617	11.329167	13.3	12	300	301	0	32	U	650607	6048282
2018-11-01T00:07:21	54.559867	11.32845	13.3	12	300	301	1.1	32	U	650559	6048308
2018-11-01T00:07:32	54.560267	11.327367	13.3	12	300	301	0	32	U	650488	6048350
2018-11-01T00:07:42	54.56055	11.32655	13.3	12	299	301	-2.2	32	U	650434	6048380
2018-11-01T00:07:52	54.560883	11.32565	13.3	12	299	301	-2.2	32	U	650375	6048415
2018-11-01T00:08:01	54.561167	11.324833	13.3	12	299	301	0	32	U	650321	6048445
2018-11-01T00:08:11	54.561517	11.323833	13.3	12	299	301	-2.9	32	U	650255	6048482
2018-11-01T00:08:21	54.5618	11.323033	13.3	12	298	301	-5.4	32	U	650202	6048512
2018-11-01T00:08:31	54.562117	11.322133	13.3	12	297	301	-6.4	32	U	650143	6048545
2018-11-01T00:08:42	54.56245	11.321117	13.2	12	296	300	-3.6	32	U	650076	6048580
2018-11-01T00:08:57	54.56245	11.321117	13.2	12	296	300	-3.6	32	U	650076	6048580
2018-11-01T00:09:01	54.563	11.31935	13.2	12	295	298	-2.2	32	U	649960	6048637
2018-11-01T00:09:11	54.5633	11.318317	13.2	12	295	297	-2.2	32	U	649892	6048668
2018-11-01T00:09:21	54.56355	11.317467	13.2	12	295	297	-2.2	32	U	649836	6048694
2018-11-01T00:09:31	54.563817	11.316533	13.2	12	295	297	2.2	32	U	649775	6048722
2018-11-01T00:09:42	54.564117	11.315483	13.2	12	295	296	0	32	U	649706	6048753
2018-11-01T00:10:01	54.564633	11.3137	13.2	12	296	296	2.9	32	U	649588	6048807
2018-11-01T00:10:11	54.564933	11.312667	13.2	12	297	296	2.9	32	U	649521	6048838
2018-11-01T00:10:21	54.5652	11.311817	13.2	12	297	297	2.9	32	U	649465	6048866
2018-11-01T00:10:31	54.565483	11.310883	13.2	12	298	297	2.2	32	U	649403	6048895
2018-11-01T00:10:42	54.5658	11.309867	13.2	12	298	297	1.1	32	U	649336	6048929
