length_from_data_set,width,iwrap_type_from_dataset,mean_speed,top_speed,std_speed,Speed_mode,Speed_median,ROT_mean,ROT_max,ROT_median,ROT_min,ROT_mode
149,22,General cargo ship,13.087839122106233,19.2,4.277390087288128,15,14.7,-0.1306832187458236,61.1,-1.0,-54.7,1.0
183,32,Oil products tanker,12.338601271571298,13.5,1.0180861929746687,13,12.9,0.7009990917347865,27.9,1.0,-11.4,2.0
87,10,General cargo ship,8.397018995098039,11.4,1.855353616973844,9,9.0,0.039485294117647056,116.1,1.0,-107.2,-4.0
189,32,General cargo ship,12.036522313425795,13.2,0.7757197324237944,12,12.3,0.0921785074063591,27.9,1.0,-23.6,-1.0
195,32,General cargo ship,15.6164002225181,19.9,1.5288339514788072,16,15.8,0.039550312802086575,45.7,1.0,-54.7,3.0
169,27,General cargo ship,13.382709305180454,17.0,4.2955118681332,15,15.0,0.048876749324821986,30.2,-1.0,-30.2,-1.0
82,12,General cargo ship,7.879568748664872,11.4,1.9550496482494704,9,8.5,-0.01672341408760174,116.1,1.0,-111.6,4.0
251,44,Oil products tanker,12.088973422396224,91.2,2.2554387280772445,14,12.3,0.006157043973119679,27.9,1.0,-30.2,1.0
183,32,Oil products tanker,11.187701274325793,51.2,1.8091208577304283,12,11.7,3.951397806974217e-05,0.4,0.0,0.0,0.0
161,25,General cargo ship,13.464625000000002,102.2,4.6063733206804445,16,15.8,0.017339743589743578,40.2,-1.0,-57.9,-3.0
100,20,General cargo ship,12.163331892826273,16.8,4.1038126758451545,14,14.0,0.028429847306251813,82.5,1.0,-64.5,1.0
141,22,Oil products tanker,11.809759493533196,16.3,3.984942320450517,14,13.1,-0.06532616853944806,61.1,-1.0,-37.5,-2.0
88,13,General cargo ship,7.8468002312091025,11.7,2.6821123189287728,9,8.8,0.0029680435994302442,237.9,1.0,-237.9,3.0
185,31,General cargo ship,11.140348877980363,13.9,0.6374987154565783,11,11.1,0.2822230014025245,32.5,1.0,-21.6,-2.0
83,13,General cargo ship,8.912301722096984,13.3,2.4915565990694235,10,9.6,-0.0861460231191263,86.4,1.0,-94.5,2.0
138,22,General cargo ship,13.436284754618402,18.9,5.447921676934719,17,16.7,-0.3307520059712632,37.5,1.0,-40.2,-1.0
183,32,Oil products tanker,11.071682075753056,12.7,1.690554203866182,12,11.6,0.28094243960632265,40.2,1.0,-42.9,1.0
122,20,General cargo ship,13.884978621164146,62.6,3.2988561815765296,16,15.1,1.4408650954032802e-06,0.2,0.0,0.0,0.0
153,24,General cargo ship,13.837740419630025,51.2,4.532822523848266,16,15.7,1.2666164242151728e-06,0.4,0.0,0.0,0.0
100,20,General cargo ship,13.119946340910671,17.7,4.065208977647773,15,14.8,-0.002416121120407632,98.6,-1.0,-57.9,1.0
115,17,Oil products tanker,11.49333913333651,15.8,3.6188119212824335,14,12.7,-0.15955332030318922,98.6,-1.0,-90.4,3.0
229,35,General cargo ship,3.056522260890436,12.9,5.214176616097683,0,0.0,0.2404176167046682,23.6,1.0,-10.0,1.0
187,26,General cargo ship,18.40801815901081,96.0,1.236178542591177,18,18.4,-0.010000119467176391,42.9,-1.0,-64.5,1.0
82,11,General cargo ship,7.539630979672101,11.4,2.356275146882501,8,8.3,0.006154322530176763,111.6,-1.0,-107.2,-2.0
130,19,General cargo ship,5.811111111111113,12.5,4.948107299650986,0,6.9,0.8364652501106684,57.9,1.0,-32.5,-1.0
250,44,Oil products tanker,10.81639937920331,13.0,1.7727175632376937,12,11.5,0.051448525607863435,27.9,-1.0,-23.6,-1.0
73,12,Oil products tanker,7.474076073213903,13.4,4.077909752700212,10,9.3,0.02015246412894776,166.1,-1.0,-231.4,4.0
153,23,General cargo ship,12.69995171181612,15.3,0.9136147460377924,13,12.7,0.25444975614467136,45.7,1.0,-45.7,3.0
122,16,General cargo ship,11.563167855444606,15.8,4.027953569628188,14,13.2,0.06986019971469329,42.9,-1.0,-42.9,-1.0
137,18,General cargo ship,12.403452419096446,14.7,2.4523970881709043,14,12.7,0.06457065043255368,40.2,5.0,-45.7,5.0
126,19,Oil products tanker,10.73899047531404,14.4,2.8810171792711667,12,11.7,-0.002564763263240234,61.1,-1.0,-42.9,-1.0
187,27,General cargo ship,14.978633831173726,51.4,6.670394549304635,19,18.0,-0.001383323868938651,0.4,-698.0,-697.5,-698.0
24,7,Fishing ship,0.8197923381677776,89.8,2.3040001619807957,0,0.0,-0.0015475756032857027,0.2,-709.0,-708.7,-709.0
141,22,General cargo ship,14.029042115590599,18.6,3.9600308801594437,16,15.4,0.0861119362010459,51.6,1.0,-54.7,1.0
181,32,General cargo ship,16.995012059379707,25.6,1.0516314331613217,17,17.0,-0.020165774008356643,25.7,-1.0,-27.9,-1.0
90,14,Oil products tanker,12.208905248159585,15.3,2.85134981675781,14,13.1,0.6583630174938652,511.1,1.0,-251.1,1.0
179,28,General cargo ship,16.26331134403709,21.8,2.496925111419784,18,17.0,0.09905036268263158,67.9,-1.0,-51.6,2.0
216,33,General cargo ship,16.917959609201215,21.9,1.5678812243405875,18,17.2,1.0322207713785823e-06,0.2,0.0,0.0,0.0
144,23,Oil products tanker,7.137024707797012,12.6,4.553268673595809,0,7.7,0.01927060216008285,40.2,-1.0,-30.2,1.0
218,27,General cargo ship,18.95191232154097,21.7,1.3353729350457617,19,19.2,-0.04310870890072232,35.0,-1.0,-51.6,-2.0
240,32,General cargo ship,17.76264694420991,21.4,1.719083952399169,19,18.3,-0.014158602325128304,48.6,-1.0,-48.6,-3.0
168,25,General cargo ship,13.28216910813704,76.8,4.389301274193763,15,14.6,0.00012296892348468016,45.7,1.0,-42.9,2.0
