"timestamp"	"lat [deg]"	"lon [deg]"	"sog [kn]"	"draught [m]"	"heading [deg]"	"cog [deg]"	"rot [deg/min]"	"zone  [UTM]"	"band  [UTM]"	"easting [UTM]"	"northing [UTM]"
2018-11-01T00:00:00	54.818773	13.141057	12	0	70	70.2	0	33	U	380557	6076208
2018-11-01T00:00:10	54.819002	13.142058	12.1	0	70	70	0	33	U	380622	6076232
2018-11-01T00:00:21	54.81919	13.14298	12.1	0	70	70.2	0	33	U	380682	6076252
2018-11-01T00:00:31	54.819377	13.143893	12.1	0	70	70.1	0	33	U	380741	6076271
2018-11-01T00:00:41	54.819563	13.144798	12.1	0	71	70	0	33	U	380800	6076290
2018-11-01T00:00:51	54.81975	13.145707	12.1	0	70	70.4	0	33	U	380859	6076309
2018-11-01T00:01:00	54.819918	13.146523	12.1	0	70	70.2	0	33	U	380912	6076326
2018-11-01T00:01:10	54.820128	13.14752	12.1	0	71	70.2	0	33	U	380977	6076348
2018-11-01T00:01:21	54.820315	13.148438	12.1	0	70	70.3	0	33	U	381036	6076367
2018-11-01T00:01:31	54.820497	13.149357	12.1	0	70	70.1	0	33	U	381096	6076386
2018-11-01T00:01:41	54.820665	13.150277	12.1	0	71	70	0	33	U	381155	6076403
2018-11-01T00:01:51	54.820855	13.151187	12.1	0	70	70.2	0	33	U	381214	6076423
2018-11-01T00:02:00	54.821027	13.151998	12.1	0	70	70.2	0	33	U	381267	6076441
2018-11-01T00:02:10	54.821232	13.153008	12.1	0	71	70	0	33	U	381332	6076462
2018-11-01T00:02:20	54.82143	13.153918	12.1	0	71	70.1	0	33	U	381391	6076482
2018-11-01T00:02:31	54.821633	13.154817	12.1	0	70	70	0	33	U	381450	6076503
2018-11-01T00:02:40	54.821808	13.155637	12.1	0	71	69.8	0	33	U	381503	6076521
2018-11-01T00:02:51	54.822012	13.156647	12.1	0	70	70.1	0	33	U	381568	6076542
2018-11-01T00:03:00	54.822177	13.157472	12.1	0	70	70	0	33	U	381622	6076559
2018-11-01T00:03:10	54.822387	13.158482	12.1	0	71	69.8	0	33	U	381687	6076581
2018-11-01T00:03:20	54.82258	13.159397	12.1	0	71	70	0	33	U	381747	6076601
2018-11-01T00:03:31	54.822775	13.160308	12.1	0	70	69.9	0	33	U	381806	6076621
2018-11-01T00:03:40	54.822953	13.16113	12.1	0	71	69.8	0	33	U	381859	6076639
2018-11-01T00:03:50	54.823163	13.162133	12.1	0	70	70	0	33	U	381924	6076661
2018-11-01T00:04:00	54.823345	13.162962	12.1	0	71	70	0	33	U	381978	6076680
2018-11-01T00:04:10	54.823562	13.163968	12.1	0	71	69.8	0	33	U	382043	6076702
2018-11-01T00:04:20	54.823753	13.164885	12.1	0	71	70	0	33	U	382103	6076722
2018-11-01T00:04:21	54.823753	13.164885	12.1	9.2	71	70	0	33	U	382103	6076722
2018-11-01T00:04:31	54.823947	13.165803	12.1	9.2	71	69.9	0	33	U	382162	6076742
2018-11-01T00:04:40	54.82412	13.166628	12.1	9.2	71	69.8	0	33	U	382216	6076760
2018-11-01T00:04:50	54.824327	13.167635	12.1	9.2	71	70.1	0	33	U	382281	6076781
2018-11-01T00:05:00	54.824493	13.168462	12.1	9.2	71	69.9	0	33	U	382335	6076798
2018-11-01T00:05:10	54.824705	13.169467	12.1	9.2	71	69.7	0	33	U	382400	6076820
2018-11-01T00:05:20	54.824908	13.170377	12.1	9.2	71	69.9	0	33	U	382459	6076841
2018-11-01T00:05:29	54.825088	13.1712	12.1	9.2	71	69.9	0	33	U	382512	6076860
2018-11-01T00:05:40	54.825287	13.172117	12.1	9.2	71	69.7	0	33	U	382572	6076881
2018-11-01T00:05:50	54.8255	13.173127	12.1	9.2	71	69.9	0	33	U	382637	6076903
2018-11-01T00:06:00	54.825668	13.173952	12.1	9.2	71	69.9	0	33	U	382691	6076920
2018-11-01T00:06:10	54.825873	13.174868	12.1	9.2	71	69.7	0	33	U	382750	6076941
2018-11-01T00:06:20	54.826093	13.175873	12.1	9.2	71	69.6	0	33	U	382815	6076964
2018-11-01T00:06:29	54.826265	13.176697	12.1	9.2	71	69.9	0	33	U	382869	6076982
2018-11-01T00:06:40	54.826463	13.177613	12.1	9.2	71	69.8	0	33	U	382928	6077002
2018-11-01T00:06:50	54.826675	13.178622	12.1	9.2	71	69.6	0	33	U	382994	6077024
2018-11-01T00:07:10	54.82705	13.180362	12.1	9.2	71	69.7	0	33	U	383106	6077063
2018-11-01T00:07:20	54.827258	13.181377	12.1	9.2	71	69.6	0	33	U	383172	6077084
2018-11-01T00:07:29	54.827433	13.182202	12.1	9.2	71	69.8	0	33	U	383226	6077103
2018-11-01T00:07:40	54.827635	13.183117	12.2	9.2	71	69.9	0	33	U	383285	6077123
2018-11-01T00:07:50	54.827853	13.184127	12.2	9.2	71	69.6	0	33	U	383351	6077146
2018-11-01T00:08:01	54.82805	13.185043	12.2	9.2	71	69.8	0	33	U	383410	6077166
2018-11-01T00:08:10	54.828222	13.185873	12.2	9.2	71	69.9	0	33	U	383464	6077184
2018-11-01T00:08:20	54.828432	13.186878	12.1	9.2	71	69.7	0	33	U	383529	6077206
2018-11-01T00:08:29	54.828605	13.187705	12.1	9.2	71	69.8	0	33	U	383583	6077224
2018-11-01T00:08:40	54.828788	13.188623	12.1	9.2	71	70	0	33	U	383642	6077243
2018-11-01T00:08:50	54.828998	13.189637	12.1	9.2	71	69.6	0	33	U	383708	6077264
2018-11-01T00:09:01	54.829188	13.190563	12.2	9.2	71	69.8	0	33	U	383768	6077284
2018-11-01T00:09:10	54.829383	13.191383	12.2	9.2	71	69.9	0	33	U	383821	6077304
2018-11-01T00:09:20	54.8296	13.192393	12.2	9.2	71	69.7	0	33	U	383886	6077327
2018-11-01T00:09:29	54.829797	13.193208	12.2	9.2	71	69.7	0	33	U	383939	6077347
2018-11-01T00:09:39	54.829987	13.194128	12.1	9.2	71	70	0	33	U	383999	6077367
2018-11-01T00:09:49	54.830178	13.195045	12.1	9.2	71	69.7	0	33	U	384058	6077387
2018-11-01T00:10:01	54.83039	13.19605	12.2	9.2	71	69.8	0	33	U	384124	6077409
2018-11-01T00:10:09	54.830563	13.196873	12.2	9.2	71	69.9	0	33	U	384177	6077426
2018-11-01T00:10:21	54.830775	13.197878	12.1	9.2	71	69.6	0	33	U	384242	6077448
2018-11-01T00:10:29	54.830943	13.198703	12.1	9.2	71	69.7	0	33	U	384296	6077466
2018-11-01T00:10:39	54.831137	13.199615	12.1	9.2	71	69.9	0	33	U	384355	6077486
