mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
211223120,Other ship,33,8,611.0,734304.0,7.025465041693393,8.6,0.1,11.4,3.8740019027929113,35.45523240173871,13.466666666666672,0.009999999999962485,354.08,70.62371589700132,4677.0,2019-10-01
211188000,Passenger ship,141,24,99.0,4167266.0,13.045062302399108,14.6,0.1,17.0,4.347000393973712,11.183744378886885,1.0316666666666643,2.8421709430404014e-14,331.25,36.72431259120762,10754.0,2019-10-01
211543450,Passenger ship,26,6,351.0,568060.0,6.511111111111112,6.8,0.4,7.4,1.2691488725473066,9.61641791044776,3.300000000000012,0.2333333333333201,61.2,16.71446716447585,198.0,2019-10-01
265874000,Passenger ship,177,26,262.0,1832717.0,15.209572681470425,15.0,13.1,17.5,1.035832351404707,0.5567546973228775,0.1576623376623516,7.105427357601002e-15,12.830000000000037,1.5261533112434067,5359.0,2019-10-01
246355000,General cargo ship,80,9,113.0,99198.0,8.429112903225809,8.7,6.7,9.5,0.9021000627195606,0.6739619985925404,0.4500000000000029,7.105427357601002e-15,7.15,1.091953896564063,1240.0,2019-10-01
211727510,Passenger ship,170,27,320.0,3701330.0,13.374791380100872,16.0,0.1,20.3,5.650923026221019,11.077780015449244,0.4363636363636658,2.8421709430404014e-14,344.96666666666664,37.5383918516388,10905.0,2019-10-01
265866000,Passenger ship,220,30,109.0,1203285.0,16.360428938226853,17.5,0.1,19.1,3.135136427687608,3.5448753710575134,0.2111111111111157,8.881784197001252e-16,345.9600000000001,24.01095657664582,6621.0,2019-10-01
266262000,Passenger ship,183,28,0.0,1429436.0,16.221495119787047,16.0,13.4,19.9,0.9757620772700424,0.7498098535960452,0.15714285714284415,3.552713678800501e-15,11.990000000000007,1.874170464993616,4508.0,2019-10-01
211417590,Fishing ship,42,10,52.0,289582.0,5.949807938540332,8.3,0.1,9.9,4.09323276277377,25.2534783496984,7.319999999999991,0.14491978609625633,204.3825,52.12737136857727,781.0,2019-10-01
265463000,Passenger ship,200,28,589.0,2092052.0,13.945449438202246,15.3,0.1,17.1,3.652875910865488,5.782088125147345,0.4000000000000021,0.0017857142857096164,358.7333333333333,30.026256945762768,5340.0,2019-10-01
