,mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std
0,219005302,Fishing ship,12,4,892.0,1444619.0,2.445295774647887,0.9,0.1,6.8,2.4611339880569862,16.391584869788215,6.969047619047615,0.07999999999998408,238.90000000000003,33.208504445944314
1,211188000,Passenger ship,141,24,99.0,4167266.0,12.381940555675211,13.4,0.1,16.0,3.474217080458932,4.2825249109332635,0.8999999999999986,2.842170943040401e-14,274.875,18.078410682237084
2,211543450,Passenger ship,26,6,351.0,568060.0,6.209888059701492,6.7,0.1,7.2,1.4029858635212047,27.183696581196582,11.545833333333334,0.040000000000048885,341.22,57.85129648896783
3,265874000,Passenger ship,177,26,262.0,1832717.0,16.69485112683007,17.2,13.8,18.4,1.3839944883235864,0.43186418494269785,0.13333333333335418,1.4210854715202004e-14,12.58999999999999,1.3337167005910682
4,277504000,Passenger ship,199,26,128.0,701054.0,19.315035136460207,20.2,0.1,22.6,3.7140596951755502,3.0925759840308347,0.2015151515151743,1.4210854715202004e-14,301.10489510489515,16.98466344083123
5,211727510,Passenger ship,170,27,320.0,3701330.0,13.42050813379638,16.1,0.1,20.8,5.7325777350842015,11.884226017603433,0.4027777777777857,2.842170943040401e-14,341.4901785714286,41.41624809987854
6,265866000,Passenger ship,220,30,109.0,1203285.0,15.23102830526693,14.6,0.1,18.9,3.211082814184315,5.7027891881322414,0.18095238095236255,1.4210854715202004e-14,347.7,31.162406663480315
7,266262000,Passenger ship,183,28,0.0,1429436.0,15.854750687082841,15.8,15.2,16.9,0.35854825237051324,0.5902886299190202,0.12000000000000455,7.105427357601002e-15,13.0648902821317,1.7269209440259632
8,211417590,Fishing ship,42,10,52.0,289582.0,6.295247590561649,6.6,0.1,10.9,3.781851523305764,11.198393297056086,0.5671328671328411,5.684341886080802e-14,356.4971428571429,45.41787370186144
9,265463000,Passenger ship,200,28,589.0,2092052.0,14.44197074155036,15.6,0.2,17.3,3.100548005090662,3.6795685531193905,0.3499999999999943,2.7755575615628914e-17,303.1514285714286,22.502435070694858
10,211215210,Passenger ship,49,8,502.0,839800.0,0.09999999999999998,0.1,0.1,0.1,2.7802738904726645e-17,,,,,
11,211543850,Passenger ship,33,8,343.0,285993.0,,,,,,,,,,
12,211549170,Passenger ship,24,7,1072.0,502777.0,5.991618828932262,6.5,0.1,7.1,1.3924380410703296,33.24777228976698,12.876666666666722,0.008333333333382598,247.17500000000004,56.89172801516639
13,211189000,Passenger ship,172,26,138.0,503247.0,14.10171763720151,14.9,0.1,16.0,2.7516163776454228,10.828784565394471,0.6000000000000014,0.009090909090907928,289.25,43.54924973810496
14,211343680,Passenger ship,191,30,167.0,1679595.0,14.461538461538462,14.3,0.1,17.3,3.0564195833814476,4.029378329786919,0.29999999999996874,3.552713678800501e-15,322.4033333333334,24.72686101757463
15,219000431,Passenger ship,141,26,226.0,4063541.0,12.61371507489642,13.7,0.1,15.4,3.4304039110223172,3.123797520682628,0.5500000000000043,2.842170943040401e-14,212.73333333333335,11.94828176472532
16,211787800,Support ship,15,5,3533.0,2123634.0,13.719369575148468,9.6,0.1,28.6,9.111833517103733,27.53609764568765,4.398788671023993,0.013333333333321207,347.8866666666667,57.77678049792859
17,219147000,Passenger ship,171,21,,807092.0,,,,,,,,,,
18,211227550,Passenger ship,28,6,188.0,1134074.0,,,,,,,,,,
