mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,90,12,4.0,62211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-05
538005553,Oil products tanker,144,22,0.0,8257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-05
236039000,General cargo ship,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-10-05
211223120,Other ship,33,8,611.0,734304.0,6.905244906805375,9.1,0.1,11.3,4.105329735377966,34.6728434980953,11.98181818181818,0.008333333333325754,301.375,67.04814541315046,2307.0,2019-10-05
311045200,General cargo ship,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-10-05
219005302,Fishing ship,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-10-05
211188000,Passenger ship,141,24,99.0,4167266.0,12.067270632593212,13.7,0.1,16.3,4.317831687318663,14.988256249332801,1.0820707070706845,3.552713678800501e-15,329.6,45.882040903507466,9548.0,2019-10-05
211543450,Passenger ship,26,6,351.0,568060.0,6.344398340248962,7.3,0.3,8.3,2.2726773287609263,37.27670454545454,7.224999999999994,0.09999999999999787,354.5,83.50676171169137,241.0,2019-10-05
255805557,General cargo ship,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-10-05
209223000,Oil products tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-10-05
265874000,Passenger ship,177,26,262.0,1832717.0,13.846255223400837,14.3,8.4,16.2,1.9587903834640716,0.5222142714069058,0.22666666666663104,1.4210854715202004e-14,13.719999999999999,1.3736664035850343,3111.0,2019-10-05
246355000,General cargo ship,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-10-05
211794540,Pleasure boat,11,7,1196.0,51216.0,0.1,0.1,0.1,0.1,0.0,,,,,,11.0,2019-10-05
277504000,Passenger ship,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-10-05
211265530,General cargo ship,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-10-05
212519000,General cargo ship,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-10-05
219007678,Other ship,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-05
305502000,General cargo ship,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-10-05
244828000,Other ship,123,14,4.0,30960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-05
246125000,General cargo ship,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-10-05
230630000,General cargo ship,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-10-05
377739000,General cargo ship,88,11,42.0,111009.0,8.28130609127363,8.4,0.2,9.4,0.7334395077463721,1.1074510715036452,0.5166666666666799,1.4210854715202004e-14,34.01607142857144,2.959914482453133,5237.0,2019-10-05
211727510,Passenger ship,170,27,320.0,3701330.0,13.133195961261077,15.8,0.1,19.8,5.577455949143382,8.4012751854357,0.6399999999999864,2.842170943040401e-14,300.73333333333335,30.494725248706338,9706.0,2019-10-05
477021900,General cargo ship,229,33,,9476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-05
219000692,Pleasure boat,14,4,2657.0,273433.0,0.1,0.1,0.1,0.1,0.0,,,,,,34.0,2019-10-05
265866000,Passenger ship,220,30,109.0,1203285.0,16.39744933612858,17.4,0.1,19.6,3.9692919213975046,7.067037020644616,0.41166666666669016,0.002777777777822621,283.8133333333333,30.609274712495395,2862.0,2019-10-05
266262000,Passenger ship,183,28,0.0,1429436.0,16.662562979189488,16.4,15.2,18.5,0.7899749845082936,0.727809343434343,0.21269841269841194,0.0017857142857167219,11.077777777777783,1.7472113129098623,4565.0,2019-10-05
211417590,Fishing ship,42,10,52.0,289582.0,10.065804783451844,10.7,1.2,12.3,2.719787711572082,5.263706685182509,0.28333333333335986,5.684341886080802e-14,231.91250000000002,23.76927614495656,1547.0,2019-10-05
265463000,Passenger ship,200,28,589.0,2092052.0,14.272230681385611,15.6,0.1,16.4,2.9733289472953244,3.7850261873865954,0.45000000000001705,0.004545454545478833,300.8805194805194,21.72778512333561,5254.0,2019-10-05
236354000,General cargo ship,89,12,117.0,214251.0,6.400681198910082,8.5,0.1,9.3,3.0190803502753285,9.548576446412646,4.2133333333333525,0.009999999999990905,219.68333333333334,25.085143165524713,1468.0,2019-10-05
218816000,General cargo ship,134,22,42.0,213047.0,,,,,,,,,,,0.0,2019-10-05
518435000,General cargo ship,87,10,6.0,65280.0,,,,,,,,,,,0.0,2019-10-05
577167000,Other ship,51,9,1543.0,119706.0,,,,,,,,,,,0.0,2019-10-05
211333700,Oil products tanker,68,12,54.0,113739.0,,,,,,,,,,,0.0,2019-10-05
211215210,Passenger ship,49,8,502.0,839800.0,7.165128543177324,8.5,0.1,10.6,3.5947324130355724,23.013624091381104,1.5066666666666038,0.009523809523784621,350.9,68.17380871593429,1517.0,2019-10-05
211543850,Passenger ship,33,8,343.0,285993.0,4.134883720930233,3.7,0.2,8.2,2.1562645348347327,56.93238095238096,8.416666666666668,0.5,352.2,110.09185365786496,129.0,2019-10-05
636017036,General cargo ship,189,32,,10599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-05
211549170,Passenger ship,24,7,1072.0,502777.0,6.348905109489051,6.8,0.1,7.7,1.46972459049823,24.332738095238092,6.316666666666677,0.14999999999999147,342.70000000000005,57.051095656942664,274.0,2019-10-05
304877000,General cargo ship,112,15,52.0,133048.0,,,,,,,,,,,0.0,2019-10-05
244847000,General cargo ship,89,12,2.0,14532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-05
355524000,General cargo ship,229,32,,5715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-05
250005054,General cargo ship,133,16,3.0,22503.0,,,,,,,,,,,0.0,2019-10-05
211189000,Passenger ship,172,26,138.0,503247.0,13.889758241758244,14.3,0.1,16.1,2.2800877337184575,6.580735735735736,0.5,0.02499999999999858,194.20000000000002,30.705017610497187,2275.0,2019-10-05
230915000,General cargo ship,139,24,294.0,343010.0,17.78222739619713,17.8,17.3,18.2,0.2044022632639322,1.0618328713652454,0.3454545454545439,0.009090909090907928,9.8,2.2284604194575826,2577.0,2019-10-05
248659000,General cargo ship,195,32,,219308.0,,,,,,,,,,,0.0,2019-10-05
219083000,Oil products tanker,141,22,1.0,90398.0,,,,,,,,,,,0.0,2019-10-05
210925000,General cargo ship,169,27,0.0,16292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-05
305203000,General cargo ship,82,12,30.0,229379.0,6.234482758620689,6.5,2.9,7.5,0.8981983883461304,1.8409704184704185,1.4733333333333363,0.020000000000010232,14.092063492063481,2.621955584563458,2001.0,2019-10-05
538007390,Oil products tanker,251,44,,49553.0,,,,,,,,,,,0.0,2019-10-05
211130000,Other ship,69,14,140.0,2187898.0,1.3649764342597108,0.8,0.1,11.3,1.5659090857666986,20.86188442314499,7.036666666666676,0.01666666666666572,319.4312499999999,42.75205087671714,6153.0,2019-10-05
211343680,Passenger ship,191,30,167.0,1679595.0,14.782255797610683,14.4,0.1,18.9,3.6371515671851897,6.529498563725836,0.2800000000000007,2.842170943040401e-14,345.0966666666667,35.14842591800135,5692.0,2019-10-05
219000431,Passenger ship,141,26,226.0,4063541.0,11.681214953271029,13.5,0.1,17.6,5.174786807689928,16.72260742982911,1.3427777777777496,1.7763568394002505e-15,313.0,46.15250913831014,9630.0,2019-10-05
