mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-09-04
538005553,Oil products tanker,144,22,0.0,8257.0,,,,,,,,,,,0.0,2019-09-04
236039000,General cargo ship,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-09-04
211223120,Other ship,33,8,611.0,734304.0,7.213880215725234,9.3,0.1,11.2,3.9539423629314787,32.14037947666542,12.277500000000018,5.684341886080802e-14,302.76,61.09592706232359,3523.0,2019-09-04
311045200,General cargo ship,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-09-04
219005302,Fishing ship,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-09-04
211188000,Passenger ship,141,24,99.0,4167266.0,12.649351529229577,14.4,0.1,15.9,3.9027655951892273,10.314530867100665,0.6952380952380963,7.105427357601002e-15,339.1,39.92228074566065,10332.0,2019-09-04
211543450,Passenger ship,26,6,351.0,568060.0,5.658291457286432,6.3,0.2,7.7,1.793459153062056,21.078787878787878,6.324999999999989,0.05000000000001137,344.2666666666667,54.88216506131933,597.0,2019-09-04
255805557,General cargo ship,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-09-04
209223000,Oil products tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-09-04
265874000,Passenger ship,177,26,262.0,1832717.0,14.597239946579611,15.2,0.1,17.4,2.505619942169752,3.1511437328103984,0.15000000000000568,8.881784197001252e-16,297.1357142857143,22.43834339965324,6739.0,2019-09-04
246355000,General cargo ship,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-09-04
211794540,Pleasure boat,11,7,1196.0,51216.0,,,,,,,,,,,0.0,2019-09-04
277504000,Passenger ship,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-09-04
211265530,General cargo ship,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-09-04
212519000,General cargo ship,85,13,12.0,96737.0,6.631506849315069,8.3,1.0,9.6,2.9455695175485817,3.8844883485309034,2.3999999999999915,0.03333333333334565,23.059999999999995,5.938514449589703,146.0,2019-09-04
219007678,Other ship,29,7,5.0,13725.0,6.631506849315069,8.3,1.0,9.6,2.9455695175485817,3.8844883485309034,2.3999999999999915,0.03333333333334565,23.059999999999995,5.938514449589703,146.0,2019-09-04
305502000,General cargo ship,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-09-04
244828000,Other ship,123,14,4.0,30960.0,,,,,,,,,,,0.0,2019-09-04
246125000,General cargo ship,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-09-04
230630000,General cargo ship,88,12,13.0,72089.0,10.538976674191119,10.7,0.1,11.7,1.1492032433553954,1.5260743940616823,0.35416666666666785,1.4210854715202004e-14,160.29999999999995,8.501822286014534,3987.0,2019-09-04
377739000,General cargo ship,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-09-04
211727510,Passenger ship,170,27,320.0,3701330.0,13.33045929211718,16.2,0.1,20.1,5.5750488887996585,10.459967709984557,0.549999999999983,2.842170943040401e-14,352.8333333333333,37.389904409419245,10821.0,2019-09-04
477021900,General cargo ship,229,33,,9476.0,13.33045929211718,16.2,0.1,20.1,5.5750488887996585,10.459967709984557,0.549999999999983,2.842170943040401e-14,352.8333333333333,37.389904409419245,10821.0,2019-09-04
219000692,Pleasure boat,14,4,2657.0,273433.0,3.832679738562092,4.9,0.1,7.8,2.3369865472654086,8.713501048218026,3.949999999999932,0.05000000000001137,155.17499999999995,19.54760787331747,459.0,2019-09-04
265866000,Passenger ship,220,30,109.0,1203285.0,15.3179610714974,15.0,0.1,19.4,3.302054395106971,5.226326214221784,0.2006944444444585,2.842170943040401e-14,346.50555555555553,31.639917008301985,5189.0,2019-09-04
266262000,Passenger ship,183,28,0.0,1429436.0,17.519179894179896,17.6,14.7,19.2,1.1865890958097813,0.6763118629214522,0.14000000000001478,7.105427357601002e-15,8.927777777777834,1.7146021102631672,4536.0,2019-09-04
211417590,Fishing ship,42,10,52.0,289582.0,,,,,,,,,,,0.0,2019-09-04
265463000,Passenger ship,200,28,589.0,2092052.0,13.574125159642403,15.3,0.1,16.8,3.709380557483693,4.531027596690575,0.3333333333333428,2.220446049250313e-16,355.79999999999995,25.08634213910984,7830.0,2019-09-04
236354000,General cargo ship,89,12,117.0,214251.0,8.794123764950598,8.5,8.0,9.9,0.5871426774610407,0.7089723548994059,0.30000000000001137,2.842170943040401e-14,12.349999999999966,1.7710813788833766,1923.0,2019-09-04
218816000,General cargo ship,134,22,42.0,213047.0,,,,,,,,,,,0.0,2019-09-04
518435000,General cargo ship,87,10,6.0,65280.0,,,,,,,,,,,0.0,2019-09-04
577167000,Other ship,51,9,1543.0,119706.0,,,,,,,,,,,0.0,2019-09-04
211333700,Oil products tanker,68,12,54.0,113739.0,,,,,,,,,,,0.0,2019-09-04
211215210,Passenger ship,49,8,502.0,839800.0,7.088475177304964,8.5,0.1,10.3,3.5233773304086933,10.034660181236674,0.5390476190476363,1.7763568394002505e-15,280.1600000000001,36.620668094210664,2820.0,2019-09-04
211543850,Passenger ship,33,8,343.0,285993.0,5.875187969924813,6.1,1.4,7.0,1.0178264136575692,27.766000000000005,6.649999999999993,0.03333333333333144,341.7,75.48854444861499,133.0,2019-09-04
636017036,General cargo ship,189,32,,10599.0,5.875187969924813,6.1,1.4,7.0,1.0178264136575692,27.766000000000005,6.649999999999993,0.03333333333333144,341.7,75.48854444861499,133.0,2019-09-04
