mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
265874000,Undefined,177,26,262.0,1832717.0,15.327607973421928,16.1,9.0,16.7,2.265784027811893,0.3874415629936142,0.15000000000000568,3.552713678800501e-15,11.620909090909102,1.1622751219986447,3010.0,2019-06-01
219000692,Undefined,14,4,2657.0,273433.0,4.1433224755700335,5.1,0.1,6.8,2.0595495819807272,18.051706666666664,6.0,0.04999999999999717,297.7,43.557941759175215,307.0,2019-06-01
265463000,Undefined,200,28,589.0,2092052.0,14.397603651578548,15.6,0.1,17.3,3.3849696817320223,4.887407279328884,0.3727272727272748,3.552713678800501e-15,347.50576923076926,25.74415224837659,5258.0,2019-06-01
236354000,Undefined,89,12,117.0,214251.0,7.39314600840336,7.9,0.1,11.4,2.661771073141984,1.3851782553729466,0.28333333333333144,1.4210854715202004e-14,92.2595238095238,5.945361719708713,3808.0,2019-06-01
211227550,Undefined,28,6,188.0,1134074.0,6.6784235668789815,7.7,0.1,8.3,2.1244479533525693,11.863506794599907,1.043333333333294,0.004999999999967031,345.9922222222222,45.172789042252425,1256.0,2019-06-01
211223780,Undefined,28,9,624.0,1143224.0,2.8118644067796605,1.8,0.1,9.3,2.52355293084114,35.506514324398225,9.900000000000006,0.01666666666667993,295.9940476190477,67.9119442942917,2891.0,2019-06-01
211356520,Undefined,26,6,488.0,412822.0,9.029345372460497,9.5,0.1,21.8,4.9413653075950865,19.224458815923658,1.3495238095238165,0.0023809523809461552,297.22727272727275,48.840842294406436,2658.0,2019-06-01
211611070,Undefined,28,8,2348.0,1951740.0,3.4932416502946952,2.6,0.1,11.3,3.042310633760091,21.19818303953283,6.409411764705872,2.8421709430404014e-14,321.65666666666664,46.59140637459737,2545.0,2019-06-01
636092478,Undefined,168,27,125.0,327605.0,7.105083766608895,6.5,0.1,17.2,4.8766540257843545,8.097932330171496,3.1333333333333435,0.05000000000001137,195.16666666666663,25.430892107389717,1731.0,2019-06-01
311000657,Undefined,83,13,48.0,72287.0,9.4967255334805,9.5,9.1,10.0,0.23837016926593216,0.5304035512510104,0.1500000000000341,2.8421709430404014e-14,21.002614379084974,1.9994985912024943,2718.0,2019-06-01
257975000,Undefined,80,12,91.0,293621.0,9.381513513513514,9.5,8.0,10.4,0.396813445161464,2.129714060565123,0.18750000000005684,0.0071428571428668874,58.08749999999986,6.253878432387165,925.0,2019-06-01
245258000,Undefined,169,24,193.0,253079.0,12.177142857142858,12.1,11.4,13.0,0.35302335775489513,20.870452196382434,0.5833333333333357,0.01666666666665151,356.78333333333336,70.06395279044014,910.0,2019-06-01
246227000,Undefined,101,14,5.0,22651.0,7.77262804366079,10.5,0.1,10.8,3.8425577609720025,11.948699330972063,1.3883333333333354,1.4210854715202004e-14,332.24999999999994,40.09576502505081,1191.0,2019-06-01
636017466,Undefined,82,12,42.0,134540.0,9.4635989010989,9.5,8.8,10.1,0.3630671488269945,0.6987660211432332,0.2800000000000296,2.8421709430404014e-14,24.26666666666668,2.033196890697869,2912.0,2019-06-01
218179000,Undefined,72,11,11.0,98829.0,7.9640211640211644,8.2,0.1,8.5,1.118790863923584,1.2144378988708884,0.27142857142857224,0.010000000000005116,15.700000000000005,2.749084038295661,1701.0,2019-06-01
256072000,Undefined,157,24,227.0,181943.0,10.865382124352331,11.3,0.1,13.1,2.637848987075992,1.9004526684877243,0.30535714285716153,2.8421709430404014e-14,273.48333333333335,13.286800051103814,3088.0,2019-06-01
211284350,Undefined,100,17,78.0,276522.0,12.053805636028445,13.0,0.1,14.0,2.631151906534096,1.1040344409522498,0.19999999999998866,2.8421709430404014e-14,26.478472222222194,3.0975800209456548,3797.0,2019-06-01
