mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,top_speed,std_speed
245176000,9423657,0,SPRINTER,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,12,10,80,6,6,0,8.878343058301585,12.9,2.5353100409489437
538005553,9436393,0,BRENTHOLMEN,,Oil products tanker,Tanker,,,144,-1,-1,-1,-1,-1,22,126,18,11,11,0,11.2181906261354,13.0,1.87554732864069
236039000,9138185,0,BALTIC SKIPPER,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,12,71,11,6,6,0,9.070908986061227,12.9,2.0875859147288645
311045200,9051210,0,FORTUNA,,General cargo ship,Cargo,,,87,-1,-1,-1,-1,-1,13,74,13,8,5,0,8.793548523802798,12.8,2.63333096178016
219005302,0,0,ND8 KIRSTINE KELLER,,Fishing ship,Fishing,,,12,-1,-1,-1,-1,-1,4,3,9,2,2,0,0.851821760616467,9.0,2.0042240021111337
255805557,9297589,0,ALANA,,General cargo ship,Cargo,,,149,-1,-1,-1,-1,-1,22,139,10,13,9,0,13.087839122106232,19.2,4.277390087288128
209223000,9246918,0,AMETHYST,,Oil products tanker,Tanker,,,93,-1,-1,-1,-1,-1,13,74,19,7,6,0,10.36542546952181,51.2,2.662629571394567
246355000,7510793,0,MISKA,,General cargo ship,Cargo,,,80,-1,-1,-1,-1,-1,9,70,10,5,4,0,5.064924696062421,13.2,3.877561725349316
256662000,9584499,0,WOOLLOOMOOLOO,,General cargo ship,Cargo,,,225,-1,-1,-1,-1,-1,32,190,35,23,9,0,11.138639551192146,12.7,1.860575291247705
211265530,9173329,0,RAGNA,,General cargo ship,Cargo,,,96,-1,-1,-1,-1,-1,19,86,10,16,3,0,13.06038742630244,17.9,3.753101384812554
212519000,9115987,0,ANJA,,General cargo ship,Cargo,,,85,-1,-1,-1,-1,-1,13,73,12,7,6,0,8.826749847524733,12.0,2.0678472079777244
305502000,9536064,0,BIRGIT G,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,13,76,12,7,6,0,8.89613829049126,12.1,2.7767340149383894
246125000,9313876,0,STEENBANK,,General cargo ship,Cargo,,,89,-1,-1,-1,-1,-1,14,76,13,10,4,0,8.896937291553558,14.5,4.299920669904546
230630000,8609618,0,PRIMA BALLERINA,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,12,71,17,6,6,0,7.799091400907211,12.7,4.165255739803411
377739000,9108439,0,INGEBORG PILOT,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,11,73,15,3,8,0,7.7577376609103785,12.5,2.9452455509759106
248595000,9198290,0,ANGELICA AN,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,149,34,16,16,0,12.338601271571298,13.5,1.0180861929746687
477021900,9758583,0,HUA XING HAI,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,33,201,28,21,12,0,10.31546010975095,13.1,1.407688840869811
211417590,9314583,0,SOLEA,,Fishing ship,Fishing,,,42,-1,-1,-1,-1,-1,10,20,22,5,5,0,5.632689186482585,13.1,4.3668332667797225
236354000,9369526,0,RICHELIEU,,General cargo ship,Cargo,,,89,-1,-1,-1,-1,-1,12,81,8,6,6,0,6.151696374812719,12.4,4.303459296670338
218816000,9333345,0,BEATE,,General cargo ship,Cargo,,,134,-1,-1,-1,-1,-1,22,120,14,11,11,0,13.286487958056203,19.8,4.886557956111295
518435000,8416798,0,PEAK OSLO,,General cargo ship,Cargo,,,87,-1,-1,-1,-1,-1,10,77,10,5,5,0,8.397018995098039,11.4,1.8553536169738438
211333700,9212345,0,FINJA,,Oil products tanker,Tanker,,,68,-1,-1,-1,-1,-1,12,58,10,7,5,0,7.97215906593165,13.0,2.7043739623070864
636017036,9762912,0,TRAMMO LAOURA,,General cargo ship,Cargo,,,189,-1,-1,-1,-1,-1,32,165,24,8,24,0,12.036522313425795,13.2,0.7757197324237944
304877000,9213894,0,EMSMOON,,General cargo ship,Cargo,,,112,-1,-1,-1,-1,-1,15,101,11,4,11,0,9.55452919247189,57.8,3.154919580476365
244847000,9411771,0,ZEELAND,,General cargo ship,Cargo,,,89,-1,-1,-1,-1,-1,12,79,10,6,6,0,9.524951830443161,12.8,1.6379479043717833
355524000,9402938,0,IKAN BAGANG,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,32,200,29,10,22,0,9.782519685039372,11.8,1.5422122329051429
250005054,9504126,0,ARKLOW DALE,,General cargo ship,Cargo,,,133,-1,-1,-1,-1,-1,16,108,25,8,8,0,11.119210771897082,15.0,2.4604127740529993
230915000,9160774,0,BORE BANK,,General cargo ship,Cargo,,,139,-1,-1,-1,-1,-1,24,23,116,12,12,0,14.616569779306724,21.2,5.0200807588502725
248659000,9745500,0,CMA CGM PREGOLIA,,General cargo ship,Cargo,,,195,-1,-1,-1,-1,-1,32,183,12,30,2,0,15.616400222518099,19.9,1.5288339514788072
