mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,mean_draught,mean_heading,mean_course,mean_ROT
211794540,0,0,KITTI WAKE,,Pleasure boat,Pleasure,,,11,-1,-1,-1,-1,-1,7,6,5,4,3,0,1.1046762730396753,0.0,0.0,158.22737621055919,0.0
219000692,0,0,GITI ANKA,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,4,7,7,2,2,0,0.6489966463448082,0.0,0.0,101.68002728273471,0.0
211110430,0,0,BELUGA II,,Pleasure boat,Sailing,,,33,-1,-1,-1,-1,-1,6,25,8,4,2,0,4.155286582444462,1.998083566583453,185.90195930100612,135.6547620848778,0.0
244679000,0,0,PEGASUS,,Pleasure boat,Sailing,,,30,-1,-1,-1,-1,-1,6,26,4,4,2,0,3.7435633630848155,1.193344249571711,0.0,203.16656129026154,0.0
211752730,0,0,LINA,,Pleasure boat,Pleasure,,,26,-1,-1,-1,-1,-1,6,23,3,3,3,0,0.25058130325973327,0.0,0.0,188.1202743371242,0.0
211751340,0,0,SINDBAD II,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,8,12,2,5,3,0,0.012055121147305305,0.0,0.0,140.2934990707949,0.0
211128920,0,0,,,Pleasure boat,Sailing,,,15,-1,-1,-1,-1,-1,5,11,4,2,3,0,1.124262552674809,0.0,0.0,117.63422136514059,0.0
211360780,0,0,SANTA BARBARA ANNA,,Pleasure boat,Sailing,,,51,-1,-1,-1,-1,-1,8,44,7,3,5,0,1.9268294563350483,3.595594741959387,0.0,102.77520762749978,0.0
211307920,0,0,,,Pleasure boat,Pleasure,,,26,-1,-1,-1,-1,-1,6,8,18,5,1,0,0.006591846393076872,0.0,0.0,0.0,0.0
211504730,0,0,SAGITTARIUS,,Pleasure boat,Sailing,,,19,-1,-1,-1,-1,-1,5,19,0,5,0,0,0.8690609685483074,0.0,0.0,186.67252672758346,0.0
219021291,0,0,NAVARANA,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,8,4,4,0,0,0.23124577269736338,0.0,0.0,188.36483190255396,0.0
219016668,0,0,BALOO,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,3,7,5,1,2,0,0.19424705088838892,0.0,0.0,166.04784706598178,0.0
211595280,0,0,RAMBO,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,11,1,1,3,0,1.4491396808319885,0.0,0.0,181.35310453648913,0.0
219023811,0,0,LAVIE,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,10,2,2,2,0,0.086664239167284,0.0,0.0020047796625775856,195.9606146595851,0.0
211537610,0,0,BOUNTY-ARNIS,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,6,6,4,0,0,3.6883891213389126,0.0,0.0,184.78723849372386,0.0
211795930,0,0,LISA,,Pleasure boat,Sailing,,,10,-1,-1,-1,-1,-1,3,10,0,1,2,0,0.9088684045374488,0.0,0.0,194.60001012220883,0.0
211795920,0,0,HORIZON,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,4,14,0,0,4,0,1.4648039959534647,0.0,0.0,172.14515364188162,0.0
211353930,0,0,GUAPA,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,11,1,0,4,0,2.187914023960535,0.0,0.016336728810301748,74.35707924915113,0.0
211378700,0,0,JOLLY ROGER,,Pleasure boat,Sailing,,,15,-1,-1,-1,-1,-1,5,14,1,1,4,0,1.762533221960665,0.0,0.0,94.21101576935732,0.0
211395470,0,0,TAURUS,,Pleasure boat,Sailing,,,11,-1,-1,-1,-1,-1,4,11,0,2,2,0,2.7030129764801294,0.0,0.0,147.20712084347122,0.0
211760340,0,0,SALT,,Pleasure boat,Sailing,,,11,-1,-1,-1,-1,-1,4,10,1,3,1,0,1.4399663361010613,0.0,0.0,185.79034679021666,0.0
319051700,9698056,0,FLYING FISH,,Pleasure boat,Pleasure,,,40,-1,-1,-1,-1,-1,8,25,15,4,4,0,7.992609315589354,2.7540874524714827,181.99231622306718,187.78830006337137,0.0
211796800,0,0,FRIZZANTE,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,6,6,3,1,0,3.351794104195252,0.0,0.0,82.96833395700803,0.0
211361210,0,0,DIEKSAND,,Pleasure boat,Sailing,,,11,-1,-1,-1,-1,-1,4,8,3,2,2,0,1.9626500883769122,0.0,49.41329920156031,178.39141220210888,0.0
211279780,0,0,ROLLING STONE,,Pleasure boat,Sailing,,,11,-1,-1,-1,-1,-1,4,7,4,3,1,0,1.203958653233961,0.0,0.0,158.9571738886184,0.0
211798400,0,0,ELEMENTARY,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,4,7,7,3,1,0,1.3556225136289968,0.0,0.0,163.81470384558716,0.0
211760370,0,0,UNIVERSE,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,11,1,3,1,0,1.386294452131581,0.0,0.0,179.38714789265842,0.0
211559610,0,0,NOREIA,,Pleasure boat,Sailing,,,11,-1,-1,-1,-1,-1,4,10,1,0,4,0,1.0131643152646654,0.0,0.0,169.4282168240161,0.0
211193180,0,0,JONATHAN,,Pleasure boat,Sailing,,,13,-1,-1,-1,-1,-1,4,8,5,3,1,0,2.495901496186762,0.0,0.0,75.76682773476159,0.0
211678610,0,0,COOPER,,Pleasure boat,Sailing,,,13,-1,-1,-1,-1,-1,8,11,2,7,1,0,0.039118412491867274,0.0,0.0,219.07717957059205,0.0
211500530,0,0,SY KARO AS,,Pleasure boat,Sailing,,,10,-1,-1,-1,-1,-1,4,7,3,3,1,0,2.6011940298507463,0.0,0.0,194.367789623312,0.0
219019831,0,0,SKIPPER,,Pleasure boat,Pleasure,,,11,-1,-1,-1,-1,-1,4,10,1,3,1,0,0.139937106918239,0.0,0.026841868823000898,163.8066992362983,0.0
211525910,0,0,BRAINSTORM,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,7,5,3,1,0,0.7355116353203698,0.0,0.0,157.27274466050366,0.0
211626470,0,0,WATERMANN,,Pleasure boat,Pleasure,,,16,-1,-1,-1,-1,-1,4,12,4,2,2,0,0.032970383275261333,0.0,0.0,171.39995644599304,0.0
211143370,0,0,AMALUR,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,7,5,1,3,0,3.2744614690172282,0.0,0.0,163.65719086190035,0.0
211547790,0,0,MAGIC BLUE,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,4,12,2,3,1,0,0.1009691658836127,0.0,0.0,96.29740062498635,0.0
211694950,0,0,,,Pleasure boat,Sailing,,,11,-1,-1,-1,-1,-1,4,6,5,2,2,0,1.6965116279069772,0.0,0.0,207.09787664307382,0.0
218090000,0,0,ELIDA,,Pleasure boat,Sailing,,,18,-1,-1,-1,-1,-1,5,10,8,2,3,0,2.502476999292286,0.0,0.0,173.593086920157,0.0
211649920,0,0,CALEDONIA,,Pleasure boat,Pleasure,,,16,-1,-1,-1,-1,-1,6,10,6,3,3,0,3.9301181102362204,0.0,131.78001968503938,123.78267716535433,0.0
211799520,0,0,SWARM,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,8,9,5,4,4,0,1.613890363181439,0.0,0.0,196.41745393888846,0.0
211357810,0,0,SY SIRIUS,,Pleasure boat,Sailing,,,10,-1,-1,-1,-1,-1,3,9,1,2,1,0,3.440764176198589,0.0,0.0,120.84426867851059,0.0
245895000,5154959,0,ALBERT JOHANNES,,Pleasure boat,Sailing,,,46,-1,-1,-1,-1,-1,5,46,0,2,3,0,4.0479163360288775,1.4952775696553862,0.0,163.20952938093535,0.0
211696020,0,0,INSPIRE,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,4,13,1,2,2,0,6.598589458054938,0.0,0.0,156.99581786686463,0.0
211797190,0,0,EMMA,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,3,8,4,3,0,0,4.95287873914442,0.0,0.0,164.99514313284016,0.0
211677030,0,0,,,Pleasure boat,Pleasure,,,12,-1,-1,-1,-1,-1,4,6,6,2,2,0,3.6023529411764708,0.0,33.766666666666666,166.75039215686274,0.0
211681210,0,0,NONAME,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,4,13,1,2,2,0,4.364244741873805,0.0,0.0,212.42504780114723,0.0
211542920,0,0,MUSSLING,,Pleasure boat,Pleasure,,,13,-1,-1,-1,-1,-1,4,13,0,0,4,0,5.919649122807018,0.0,0.0,115.71070175438595,0.0
211664820,0,0,FLYMISH,,Pleasure boat,Sailing,,,9,-1,-1,-1,-1,-1,6,4,5,3,3,0,5.5491979618795995,0.0,0.0,160.77931685223626,0.0
211550770,0,0,JULANUR,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,3,12,0,3,0,0,5.426826608505998,0.0,0.0,143.72922573609597,0.0
211261510,0,0,PEER GYNT,,Pleasure boat,Sailing,,,8,-1,-1,-1,-1,-1,3,6,2,3,0,0,4.4890366642703095,0.0,0.0,213.14681284447641,0.0
211536730,0,0,ARCTURUS,,Pleasure boat,Pleasure,,,6,-1,-1,-1,-1,-1,3,4,2,2,1,0,4.446019900497513,0.0,0.0,77.70746268656717,0.0
211100580,0,0,SY EULOGIA,,Pleasure boat,Sailing,,,10,-1,-1,-1,-1,-1,4,7,3,0,4,0,2.1971413744532584,0.0,0.0,79.87940840685003,0.0
211249750,0,0,DREAMCATCHER,,Pleasure boat,Pleasure,,,6,-1,-1,-1,-1,-1,2,4,2,1,1,0,4.851585623678647,0.0,0.0,215.49450317124735,0.0
211128480,0,0,SY SPECIAL ONE,,Pleasure boat,Sailing,,,13,-1,-1,-1,-1,-1,4,10,3,2,2,0,3.779514487608615,0.0,0.0,175.13616154444333,0.0
211129810,0,0,RESOLUTE,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,8,4,3,1,0,5.39355223880597,0.0,0.0,165.92946268656718,0.0
211390560,0,0,SY RELAX X-332,,Pleasure boat,Sailing,,,10,-1,-1,-1,-1,-1,4,10,0,0,4,0,4.39528259636342,0.0,0.0,169.19359269101005,0.0
211104450,0,0,PAPILLON,,Pleasure boat,Sailing,,,17,-1,-1,-1,-1,-1,5,15,2,4,1,0,4.9305624908209715,0.0,0.0,131.83630489058598,0.0
211414320,0,0,PASSATEMPO,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,11,1,3,1,0,4.198470173893903,0.0,0.0,144.49188861985473,0.0
211701490,0,0,,,Pleasure boat,Pleasure,,,12,-1,-1,-1,-1,-1,4,10,2,2,2,0,2.711111111111111,0.0,0.0,51.6,0.0
211775080,0,0,FINE FLEUR,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,4,5,9,2,2,0,5.600779588944012,0.0,0.0,174.47042286794235,0.0
211682490,0,0,WHYDAH OF BRISTOL,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,4,13,1,2,2,0,3.1678830980066444,0.0,0.0,192.10749065614618,0.0
211754280,0,0,,,Pleasure boat,Pleasure,,,6,-1,-1,-1,-1,-1,3,2,4,1,2,0,4.5334394904458595,0.0,0.0,120.69347133757962,0.0
232012262,0,0,SV MACAMBA,,Pleasure boat,Pleasure,,,11,-1,-1,-1,-1,-1,3,11,0,3,0,0,4.180565677598473,0.0,198.38677771993753,181.88691653652612,0.0
211747860,0,0,TIME 4 US,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,4,14,0,0,4,0,2.9502539464653394,0.0,0.0,166.47940974605353,0.0
211745100,0,0,SEXTANTEN,,Pleasure boat,Pleasure,,,12,-1,-1,-1,-1,-1,4,10,2,3,1,0,3.6156993339676498,0.0,0.0,162.4570884871551,0.0
235001042,0,0,SHOO SHOO,,Pleasure boat,Sailing,,,20,-1,-1,-1,-1,-1,4,8,12,2,2,0,8.184158415841585,0.0,0.0,259.2617574257426,0.0
211734300,0,0,HANSA,,Pleasure boat,Pleasure,,,11,-1,-1,-1,-1,-1,1,8,3,0,1,0,5.997463768115942,0.0,0.0,269.5420289855073,0.0
211802800,0,0,EXPLORER,,Pleasure boat,Pleasure,,,8,-1,-1,-1,-1,-1,3,3,5,2,1,0,7.392353392104255,0.0,0.0,128.9521272518206,0.0
261034010,0,0,PILIGRIM,,Pleasure boat,Sailing,,,15,-1,-1,-1,-1,-1,5,11,4,3,2,0,6.784579439252337,0.0,0.0,260.5803738317757,0.0
211559880,0,0,JOVEL,,Pleasure boat,Pleasure,,,14,-1,-1,-1,-1,-1,5,7,7,0,5,0,3.2303987093800415,0.0,0.0,168.83881078589536,0.0
211575960,0,0,ARIELLE,,Pleasure boat,Sailing,,,11,-1,-1,-1,-1,-1,3,11,0,3,0,0,4.186030997304582,0.0,0.0,180.76395552560646,0.0
211125570,0,0,JAZZ V. GROSSENBRODE,,Pleasure boat,Pleasure,,,10,-1,-1,-1,-1,-1,3,9,1,2,1,0,3.23966415229885,0.0,0.0,185.04405531609197,0.0
211736550,0,0,MILAN,,Pleasure boat,Sailing,,,21,-1,-1,-1,-1,-1,5,21,0,3,2,0,5.205258024472425,2.8560915055860967,67.53852633445646,71.70380829934386,0.0
211699670,0,0,SHONA,,Pleasure boat,Sailing,,,9,-1,-1,-1,-1,-1,3,6,3,3,0,0,2.7301769911504428,0.0,0.0,213.82070796460175,0.0
211638890,0,0,NIDDASCHE,,Pleasure boat,Pleasure,,,14,-1,-1,-1,-1,-1,4,14,0,0,4,0,3.849794520547945,0.0,0.0,127.66746575342465,0.0
211177040,0,0,GO,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,4,4,8,2,2,0,4.103214285714286,0.0,0.0,176.5482142857143,0.0
211731060,0,0,SHAKTI,,Pleasure boat,Sailing,,,14,-1,-1,-1,-1,-1,5,12,2,4,1,0,4.3959244638856285,0.0,0.0,153.4369732209538,0.0
211564540,0,0,SY DIVINE CAROLINE,,Pleasure boat,Pleasure,,,12,-1,-1,-1,-1,-1,4,9,3,2,2,0,3.6765668695509133,0.0,0.0,176.4910319679772,0.0
261019970,0,0,URTICA,,Pleasure boat,Sailing,,,11,-1,-1,-1,-1,-1,4,11,0,0,4,0,5.738571428571428,0.0,0.0,116.83999999999999,0.0
211605910,0,0,VENTURA,,Pleasure boat,Sailing,,,17,-1,-1,-1,-1,-1,8,14,3,4,4,0,1.3516436398284897,0.0,206.64506908051453,175.68695807527394,0.0
211674580,0,0,SAMAI,,Pleasure boat,Sailing,,,13,-1,-1,-1,-1,-1,4,12,1,4,0,0,5.125312145289444,0.0,0.0,255.65187287173666,0.0
211439760,0,0,WIKING VIII,,Pleasure boat,Sailing,,,13,-1,-1,-1,-1,-1,4,13,0,4,0,0,5.308086652314317,0.0,73.24724165769645,170.65209230355222,0.0
273387650,0,0,HOOKIPA,,Pleasure boat,Sailing,,,11,-1,-1,-1,-1,-1,5,3,8,2,3,0,0.12222222222222223,0.0,0.0,0.0,0.0
211719370,0,0,CARPE DIEM,,Pleasure boat,Sailing,,,12,-1,-1,-1,-1,-1,3,9,3,1,2,0,2.290054298642534,0.0,0.0,196.6786153846154,0.0
211450060,0,0,ADELE,,Pleasure boat,Sailing,,,10,-1,-1,-1,-1,-1,4,6,4,3,1,0,1.8528688095487384,0.0,0.0,181.50599413673962,0.0
211171290,0,0,ERIKA III,,Pleasure boat,Sailing,,,9,-1,-1,-1,-1,-1,3,6,3,2,1,0,0.9508717551336692,0.0,0.0,45.98380472685005,0.0
