mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,mean_draught,mean_heading,mean_course,mean_ROT
245176000,9423657.0,,SPRINTER,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,12,10.0,80.0,6.0,6.0,,8.878343058301585,5.040632685537928,166.93568661490733,166.57339698767098,
236039000,9138185.0,,BALTIC SKIPPER,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,12,71.0,11.0,6.0,6.0,,9.070908986061227,4.501597357234653,173.89087883481068,173.94663805318484,
311045200,9051210.0,,FORTUNA,,General cargo ship,Cargo,,,87,-1,-1,-1,-1,-1,13,74.0,13.0,8.0,5.0,,8.793548523802798,4.8687484107924845,183.67833027263737,184.4196327164854,
255805557,9297589.0,,ALANA,,General cargo ship,Cargo,,,149,-1,-1,-1,-1,-1,22,139.0,10.0,13.0,9.0,,13.087839122106232,8.432505605630876,166.70307233119996,164.57372481178447,-0.1306832187458236
246355000,7510793.0,,MISKA,,General cargo ship,Cargo,,,80,-1,-1,-1,-1,-1,9,70.0,10.0,5.0,4.0,,5.064924696062421,2.1339079416923723,153.37553176475333,170.80133067198938,
256662000,9584499.0,,WOOLLOOMOOLOO,,General cargo ship,Cargo,,,225,-1,-1,-1,-1,-1,32,190.0,35.0,23.0,9.0,,11.138639551192146,12.988043478260867,226.7633239831697,228.89253155680225,
211265530,9173329.0,,RAGNA,,General cargo ship,Cargo,,,96,-1,-1,-1,-1,-1,19,86.0,10.0,16.0,3.0,,13.06038742630244,5.824552646652227,180.31868354299544,179.20143454536841,
212519000,9115987.0,,ANJA,,General cargo ship,Cargo,,,85,-1,-1,-1,-1,-1,13,73.0,12.0,7.0,6.0,,8.826749847524733,4.274625014213797,166.9058684887892,160.85895055666393,
305502000,9536064.0,,BIRGIT G,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,13,76.0,12.0,7.0,6.0,,8.89613829049126,4.741062393176858,182.2477450797895,180.32709119523463,
246125000,9313876.0,,STEENBANK,,General cargo ship,Cargo,,,89,-1,-1,-1,-1,-1,14,76.0,13.0,10.0,4.0,,8.896937291553558,5.167419336073839,173.51180873342125,172.96755216008685,
230630000,8609618.0,,PRIMA BALLERINA,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,12,71.0,17.0,6.0,6.0,,7.799091400907211,4.533210337222044,172.71306301932333,178.51120559308634,
377739000,9108439.0,,INGEBORG PILOT,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,11,73.0,15.0,3.0,8.0,,7.7577376609103785,4.017673341801115,187.19458782621228,184.81871019466894,
477021900,9758583.0,,HUA XING HAI,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,33,201.0,28.0,21.0,12.0,,10.31546010975095,14.140681722245674,225.0187842971718,224.25711270578302,
236354000,9369526.0,,RICHELIEU,,General cargo ship,Cargo,,,89,-1,-1,-1,-1,-1,12,81.0,8.0,6.0,6.0,,6.151696374812719,4.25207583628548,168.24450761023286,183.39233982571844,
218816000,9333345.0,,BEATE,,General cargo ship,Cargo,,,134,-1,-1,-1,-1,-1,22,120.0,14.0,11.0,11.0,,13.286487958056203,7.8465296389998445,143.15114505250014,143.33663604744493,
518435000,8416798.0,,PEAK OSLO,,General cargo ship,Cargo,,,87,-1,-1,-1,-1,-1,10,77.0,10.0,5.0,5.0,,8.397018995098039,3.7251960784313725,174.77919730392156,174.59840686274512,0.039485294117647056
636017036,9762912.0,,TRAMMO LAOURA,,General cargo ship,Cargo,,,189,-1,-1,-1,-1,-1,32,165.0,24.0,8.0,24.0,,12.036522313425795,10.296018492310596,182.76488347957354,183.26489291442587,0.0921785074063591
304877000,9213894.0,,EMSMOON,,General cargo ship,Cargo,,,112,-1,-1,-1,-1,-1,15,101.0,11.0,4.0,11.0,,9.55452919247189,5.465399705369491,180.48899645240814,180.49251698635078,
244847000,9411771.0,,ZEELAND,,General cargo ship,Cargo,,,89,-1,-1,-1,-1,-1,12,79.0,10.0,6.0,6.0,,9.524951830443161,4.810686760253235,172.11099642169006,172.1044109551335,
355524000,9402938.0,,IKAN BAGANG,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,32,200.0,29.0,10.0,22.0,,9.782519685039372,12.554663167104112,219.07121609798776,221.58932633420824,
250005054,9504126.0,,ARKLOW DALE,,General cargo ship,Cargo,,,133,-1,-1,-1,-1,-1,16,108.0,25.0,8.0,8.0,,11.119210771897082,6.807625649913345,151.72025952095277,152.25303737279475,
230915000,9160774.0,,BORE BANK,,General cargo ship,Cargo,,,139,-1,-1,-1,-1,-1,24,23.0,116.0,12.0,12.0,,14.616569779306724,6.640008746100694,154.05654937173844,158.24485525203346,
248659000,9745500.0,,CMA CGM PREGOLIA,,General cargo ship,Cargo,,,195,-1,-1,-1,-1,-1,32,183.0,12.0,30.0,2.0,,15.616400222518099,10.469003410728293,168.3001668885768,168.51078392033122,0.039550312802086575
210925000,9313204.0,,BALTIC FULMAR,,General cargo ship,Cargo,,,169,-1,-1,-1,-1,-1,27,159.0,10.0,,27.0,,13.382709305180457,8.595605205008596,190.01657255094526,189.47894672231772,0.048876749324821986
305203000,8710998.0,,MOSVIK,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,12,62.0,20.0,7.0,5.0,,7.879568748664872,4.462696672319612,171.31781898081343,172.64966322113182,-0.01672341408760174
