mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,mean_draught,mean_heading,mean_course,mean_ROT
235101881,0,0,WINDCAT 34,,Fast ferry,HSC,,,18,-1,-1,-1,-1,-1,6,8,10,3,3,0,21.28865796455238,1.8810502923441044,143.66044582833692,150.67061176187764,0.0
235090741,0,0,WINDCAT 28,,Fast ferry,HSC,,,17,-1,-1,-1,-1,-1,6,7,10,3,3,0,16.712501736168523,1.865697498814996,136.72150754544353,164.82211250372038,0.0
273331830,0,0,M/Y ELDEN,,Fast ferry,HSC,,,29,-1,-1,-1,-1,-1,8,29,0,4,4,0,5.309852421533984,2.250051964248597,64.55102889212222,36.27262523383912,0.0
219017203,9656981,0,BACKER,,Fast ferry,HSC,,,21,-1,-1,-1,-1,-1,7,10,11,5,2,0,6.95999562075761,2.1974469016860083,181.0804904751478,184.65658857017738,0.0
235109502,9766683,0,SEVERN PROVIDER,,Fast ferry,HSC,,,26,-1,-1,-1,-1,-1,10,21,5,5,5,0,17.47919916796672,2.49869994799792,258.0517420696828,252.70158606344256,0.0
211720660,0,0,VIVACE,,Fast ferry,HSC,,,28,-1,-1,-1,-1,-1,9,18,10,5,4,0,21.182162062784393,0.6990669669531644,172.967137013375,176.79408466240753,0.0
235103465,0,0,WINDCAT 35,,Fast ferry,HSC,,,19,-1,-1,-1,-1,-1,7,4,15,3,4,0,19.35444394984791,1.963820263619952,153.01687810668446,164.26329351831245,0.0
211156470,0,0,WINDCAT 42,,Fast ferry,HSC,,,22,-1,-1,-1,-1,-1,8,11,11,4,4,0,21.60344978256799,1.9909490023095648,149.18869769667714,153.85732818709556,0.0
235022145,0,0,VALKYRIEOFWHITSTABLE,,Fast ferry,HSC,,,13,-1,-1,-1,-1,-1,6,5,8,3,3,0,3.550570342205323,0.6570342205323194,0.0,119.90760456273765,0.0
219018988,0,0,MARU,,Fast ferry,HSC,,,10,-1,-1,-1,-1,-1,3,6,4,0,3,0,4.69748045178106,0.0,0.0,153.60668983492613,0.0
235103033,0,0,MASTER P,,Fast ferry,HSC,,,18,-1,-1,-1,-1,-1,6,6,12,3,3,0,20.892341206145378,1.2995528548498054,259.7622105021784,261.63887869754643,0.0
211716130,9773662,0,VERDI,,Fast ferry,HSC,,,26,-1,-1,-1,-1,-1,10,20,6,5,5,0,19.741230220637398,2.1867617561845325,264.03655003342993,264.9108981502117,0.0
232007444,0,0,MANOR VENTURE,,Fast ferry,HSC,,,27,-1,-1,-1,-1,-1,12,12,15,5,7,0,12.219405272838749,2.2897762109135504,253.44083384426733,252.74633660331088,0.0
235111522,0,0,MO 2,,Fast ferry,HSC,,,27,-1,-1,-1,-1,-1,10,12,15,5,5,0,16.65,2.0,0.0,276.35,66.0
219018007,9681730,0,WORLD SCIROCCO,,Fast ferry,HSC,,,24,-1,-1,-1,-1,-1,10,15,9,5,5,0,15.291167933987383,2.4538847177912637,170.88598910983714,168.78171699968811,0.0
235108597,0,0,VANGUARD,,Fast ferry,HSC,,,17,-1,-1,-1,-1,-1,4,5,12,2,2,0,3.312450056945284,1.598753510389269,195.33561361789899,184.09200762732928,0.0
219014141,0,0,WINDCREW 1,,Fast ferry,HSC,,,20,-1,-1,-1,-1,-1,6,13,7,3,3,0,18.60925001709168,1.2858275791344775,155.72338825459767,171.38478156833256,0.0
244830668,9758698,0,SEAZIP 4,,Fast ferry,HSC,,,26,-1,-1,-1,-1,-1,10,18,8,5,5,0,13.729463385111963,2.197337099051846,167.87996772241274,167.93937865644543,0.0
235066258,0,0,DEVERON,,Fast ferry,HSC,,,20,-1,-1,-1,-1,-1,7,15,5,1,6,0,15.957380688124307,1.5360710321864595,159.32533296337402,154.88504439511655,0.0
235114048,9768643,0,SURE DYNAMIC,,Fast ferry,HSC,,,26,-1,-1,-1,-1,-1,9,13,13,5,4,0,21.864178052005293,0.954217717055972,0.0,188.44593212869106,0.0
211659330,0,0,THERON,,Fast ferry,HSC,,,22,-1,-1,-1,-1,-1,6,8,14,3,3,0,10.374199210179903,1.7627906976744188,277.36112329969285,275.1633611232997,0.0
211810060,0,0,WINDCAT 43,,Fast ferry,HSC,,,22,-1,-1,-1,-1,-1,8,8,14,4,4,0,26.466686125705387,1.9198287604592332,85.8598949211909,90.03263280793928,0.0
235109144,9770347,0,LARGO,,Fast ferry,HSC,,,29,-1,-1,-1,-1,-1,7,16,13,3,4,0,20.97538536824076,1.4644910692439441,198.07150721800832,202.2243271348177,0.0
211719910,9782132,0,PRESTO,,Fast ferry,HSC,,,28,-1,-1,-1,-1,-1,9,18,10,5,4,0,16.74635545905707,1.5431761786600495,258.41842431761785,260.1236197270471,0.0
219024891,0,0,VALKYRIEOFWHITSTABLE,,Fast ferry,HSC,,,13,-1,-1,-1,-1,-1,6,5,8,3,3,0,3.835920003911789,1.1184391961273283,0.0,148.6329421544179,0.0
