mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,mean_draught,mean_heading,mean_course,mean_ROT
211223120,8308733,0,HEIKENDORF,,Other ship,Undefined,,,33,-1,-1,-1,-1,-1,8,10,23,6,2,0,6.402850318124373,2.272865597899508,192.7218481718743,181.56209798666495,0.0
211222720,8917704,0,FALCKENSTEIN,,Other ship,Undefined,,,27,-1,-1,-1,-1,-1,8,8,19,3,5,0,1.2667552279385335,3.0118739592673256,59.65689187123218,215.44140769725539,0.0
992111923,0,0,BALTIC2 WINDFARM SW,,Other ship,Undefined,,,8,-1,-1,-1,-1,-1,12,4,4,4,8,0,0.0,0.0,0.0,0.0,0.0
992111840,0,0,WIND FARM BALTIC1NW,,Other ship,Undefined,,,60,-1,-1,-1,-1,-1,60,30,30,30,30,0,0.0,0.0,0.0,0.0,0.0
219007678,0,0,BIRKHOLM,,Other ship,Military,,,29,-1,-1,-1,-1,-1,7,14,15,2,5,0,8.345231329690346,2.195672131147541,145.75395264116577,153.21288160291436,0.0
244828000,9399387,0,LAUWERSBORG,,Other ship,Undefined,,,123,-1,-1,-1,-1,-1,14,112,11,10,4,0,9.726321059431525,6.063010335917312,207.98782299741603,208.37941537467697,2.260981912144703e-05
992111841,0,0,WIND FARM BALTIC1SW,,Other ship,Undefined,,,6,-1,-1,-1,-1,-1,6,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0
211546740,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,8.251867430429739,1.18466912268077,183.80435523261553,185.30082659627647,0.0
577167000,5040500,0,KREBS RESEARCH,,Other ship,Spare 1,,,51,-1,-1,-1,-1,-1,9,23,28,7,2,0,4.59096452976459,4.716870499390173,165.44027032897264,161.0628189063205,0.0
992111842,0,0,WIND FARM BALTIC1NE,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
211130000,9285811,0,ARKONA,,Other ship,Law enforcement,,,69,-1,-1,-1,-1,-1,14,11,58,7,7,0,3.0015676233535573,3.9397166595517703,186.87191861777833,180.41057896666118,0.0
219017325,9663075,0,ACCOMPLISHER,,Other ship,Other,,,22,-1,-1,-1,-1,-1,8,16,6,5,3,0,2.4184991899533017,7.187866453477892,210.64013172524062,227.72375128389757,-0.00018713137580872303
211228710,9124562,0,ZINGST,,Other ship,Other,,,65,-1,-1,-1,-1,-1,12,60,5,1,11,0,1.1047076642368092,2.081856670888655,178.56294452662067,59.04048236950957,0.0
211292150,0,0,ROSENORT,,Other ship,Other,,,20,-1,-1,-1,-1,-1,6,10,10,3,3,0,2.6173291783841304,1.3449165209900937,209.2687669428188,188.75736490081323,0.0
211298240,9181089,0,VILM,,Other ship,Anti-pollution,,,49,-1,-1,-1,-1,-1,10,37,12,7,3,0,1.4529501619661804,2.1459199381853846,72.52245831971233,153.01752444351985,0.0
273395690,0,0,FORTUNA,,Other ship,Undefined,,,218,-1,-1,-1,-1,-1,46,218,0,0,46,0,0.0008074413797558299,7.696287922830135,327.0521499472472,1.9706844949723317,0.0
211534760,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,5.469612947553249,0.1690136651652798,0.0,111.16511184059851,0.0
219007679,0,0,FYRHOLM,,Other ship,Military,,,29,-1,-1,-1,-1,-1,7,14,15,2,5,0,5.453895010713192,2.6797520661157024,111.1813590449954,174.81281756963577,0.0
211638130,6818617,0,KREBS HELIOS,,Other ship,Other,,,49,-1,-1,-1,-1,-1,10,36,13,5,5,0,2.377965969174835,3.6614206550103106,173.53383047136896,86.60426313783366,0.0
219002666,0,0,STELLA POLARIS,,Other ship,Military,,,14,-1,-1,-1,-1,-1,5,7,7,2,3,0,1.277291269124856,1.5979424949819276,150.78978560355893,186.39035311234773,0.0
211163700,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.8727272727272727,2.674661508704062,0.0,26.09230603911455,0.0
219590000,9703461,0,ESVAGT FROUDE,,Other ship,Other,,,84,-1,-1,-1,-1,-1,18,14,70,9,9,0,3.2894707105677563,6.2196298700518104,167.85814189717144,160.4845312368519,0.0
211235220,0,0,THEO FISCHER,,Other ship,SAR,,,23,-1,-1,-1,-1,-1,6,11,12,3,3,0,3.329098983288535,1.647381655672105,201.4516568407394,79.17994906368249,0.0
218601000,8521438,0,ELISABETH M. BORGESE,,Other ship,Other,,,57,-1,-1,-1,-1,-1,11,18,39,7,4,0,5.425601199380993,3.888974530858061,166.52518949559848,173.20017044343456,1.6094753030038444e-07
211356520,0,0,WARNOW,,Other ship,Law enforcement,,,26,-1,-1,-1,-1,-1,6,15,11,2,4,0,3.938940511891324,1.478387779721042,228.9308927334299,122.98500637078453,0.0
211207340,0,0,JADE,,Other ship,Law enforcement,,,28,-1,-1,-1,-1,-1,6,14,14,3,3,0,0.18567764080608257,2.0034444895548833,247.17215988779805,176.19277515317043,0.0
211514540,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,7.778317406247769,0.6419924325096124,186.9339833352031,191.5542391204577,0.0
211231260,0,0,KEHRWIEDER,,Other ship,Undefined,,,24,-1,-1,-1,-1,-1,6,16,8,4,2,0,0.8165537136679764,2.6544318101777153,0.0,253.68639495677368,0.0
211223180,0,0,FRITZ REUTER,,Other ship,Reserved,,,24,-1,-1,-1,-1,-1,7,11,13,1,6,0,4.504137705326809,2.7358975158183463,141.52635352055606,197.6306346039959,0.0
211212690,0,0,PUTLOS,,Other ship,Military,,,29,-1,-1,-1,-1,-1,6,13,16,4,2,0,4.011444450655189,1.9941947281423928,167.79042329774578,176.41228889013104,0.5006170596737229
211352600,1,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.9507312343143965,1.7970111795573809,0.0,50.52493269450149,0.0
219020860,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.021148124759939324,0.0,0.0,173.3491240633565,0.0
211537310,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,4.810383100337963,1.1214202006608043,224.41702516954854,207.6178795279103,0.0
211205810,0,0,ARKONA,,Other ship,SAR,,,28,-1,-1,-1,-1,-1,7,7,21,2,5,0,3.121087598646113,2.077922124561199,0.0,41.97133614046428,0.0
376129000,7214753,0,WIND EXPRESS,,Other ship,Other,,,55,-1,-1,-1,-1,-1,11,8,47,5,6,0,0.03219931589165203,3.343170934639918,119.97322732735509,195.51410002773412,-0.09911805491356199
211212470,0,0,BUMS,,Other ship,Military,,,25,-1,-1,-1,-1,-1,7,6,19,3,4,0,0.09693500335355867,0.0,8.370950382929607,185.61579916083045,0.0
