mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,mean_draught,mean_heading,mean_course,mean_ROT
211188000,9151541,0,DEUTSCHLAND,,Passenger ship,Passenger,,,141,-1,-1,-1,-1,-1,24,17,124,12,12,0,10.361853694964509,5.987135450436809,115.97240108982724,133.16753262210776,2.639620317013601e-07
211543450,0,0,STADT BARTH,,Passenger ship,Passenger,,,26,-1,-1,-1,-1,-1,6,7,19,5,1,0,1.3956237017216488,1.2264913917543925,0.0,162.1808352990881,-0.000849910220751329
265874000,8618358,0,HUCKLEBERRY FINN,,Passenger ship,Passenger,,,177,-1,-1,-1,-1,-1,26,19,158,13,13,0,14.407113536896318,5.429412724386801,133.90732120671112,128.50980173152757,0.24158132433976426
277504000,9350680,0,ATHENA SEAWAYS,,Passenger ship,Passenger,,,199,-1,-1,-1,-1,-1,26,15,184,13,13,0,20.09434779631811,6.034590060109494,162.3614828529614,161.36673936672494,0.0
211727510,9587855,0,BERLIN,,Passenger ship,Passenger,,,170,-1,-1,-1,-1,-1,27,22,148,15,12,0,12.292134746158819,5.157348898909301,269.13826543431685,244.31003733792963,0.0
265866000,9217242,0,PETER PAN,,Passenger ship,Passenger,,,220,-1,-1,-1,-1,-1,30,21,199,15,15,0,15.64866552811678,6.0013934354703995,150.2367144940725,144.33872108436492,0.0
266262000,9010163,0,FINNPARTNER,,Passenger ship,Passenger,,,183,-1,-1,-1,-1,-1,28,11,172,14,14,0,16.972947582123293,6.703567490954472,124.70515154228661,124.81975996127144,2.518475818434683e-06
265463000,9133915,0,SKANE,,Passenger ship,Passenger,,,200,-1,-1,-1,-1,-1,28,32,168,14,14,0,13.585373355920405,6.051623573410223,131.09425626131664,134.49780340068028,-0.669520690690289
211215210,5302063,0,BALTICA,,Passenger ship,Passenger,,,49,-1,-1,-1,-1,-1,8,39,10,4,4,0,4.023637889973802,1.7754777327935227,0.000831150273874732,215.46736961181236,-0.0008438914027149322
211543850,0,0,RIVER STAR,,Passenger ship,Passenger,,,33,-1,-1,-1,-1,-1,8,6,27,3,5,0,0.7106278825006207,1.1814789173161584,0.0028322371526575824,157.16805970775508,0.0
211549170,0,0,WARNOWSTAR,,Passenger ship,Passenger,,,24,-1,-1,-1,-1,-1,7,20,4,2,5,0,1.7498809611418187,0.19099799712397345,0.0,96.31742800486101,0.0
211189000,8705383,0,SASSNITZ,,Passenger ship,Passenger,,,172,-1,-1,-1,-1,-1,26,21,151,4,22,0,13.483696872509922,5.429463265553496,134.7872933171981,131.83363716028114,0.0
211343680,9217230,0,NILS HOLGERSSON,,Passenger ship,Passenger,,,191,-1,-1,-1,-1,-1,30,21,170,15,15,0,14.848356716946649,6.0123704226316415,144.99996070481276,140.26926151840178,0.0
219000431,9144421,0,PRINSESSE BENEDIKTE,,Passenger ship,Passenger,,,141,-1,-1,-1,-1,-1,26,22,119,13,13,0,10.4573174726181,4.990953702694275,75.34417248404777,126.22626994535068,-0.0005231151845151803
219147000,7826867,0,STENA GOTHICA,,Passenger ship,Passenger,,,171,-1,-1,-1,-1,-1,21,25,146,18,3,0,14.827867207208097,5.073315557582034,139.8005258384422,150.08225406768995,-0.0008627269258027585
211227550,0,0,KAROLINE,,Passenger ship,Passenger,,,28,-1,-1,-1,-1,-1,6,9,19,3,3,0,1.190779349495712,0.0,106.23947819983529,144.34227933979625,0.0
219423000,9587867,0,COPENHAGEN,,Passenger ship,Passenger,,,170,-1,-1,-1,-1,-1,27,22,148,15,12,0,11.933571254667552,5.2954725747612095,270.66257435092876,235.81777732518717,0.00010107132161439939
219000429,9144419,0,PRINS RICHARD,,Passenger ship,Passenger,,,141,-1,-1,-1,-1,-1,26,22,119,13,13,0,10.252664636133549,4.1944868728184055,117.13648750386994,130.01905659524223,0.0
211190000,9151539,0,SCHLESWIG-HOLSTEIN,,Passenger ship,Passenger,,,142,-1,-1,-1,-1,-1,24,24,118,12,12,0,10.28248608081748,5.69318051727946,116.41215941920815,132.7330257230186,0.008315360863697985
211590700,9659804,0,UNDINE,,Passenger ship,Passenger,,,25,-1,-1,-1,-1,-1,8,9,16,4,4,0,2.9878503787878787,1.6860199294077132,127.25862172865014,190.59166451446285,4.3044077134986227e-07
219000737,7432202,0,HOLGER DANSKE,,Passenger ship,Passenger,,,80,-1,-1,-1,-1,-1,12,20,60,4,8,0,5.318536142218748,3.7961955847937445,81.62060270494744,150.4298742595515,5.78753863387756e-06
211549160,0,0,MARKGRAFENHEIDE,,Passenger ship,Passenger,,,24,-1,-1,-1,-1,-1,6,5,19,2,4,0,1.8966531503966237,0.12757147514169206,0.0,104.01769220650723,0.0
211411230,0,0,BALTIC STAR,,Passenger ship,Passenger,,,27,-1,-1,-1,-1,-1,6,8,19,4,2,0,1.9841528218485074,1.1841654149267946,84.07400491977664,193.23894863537652,0.0
211558470,0,0,SCHNATERMANN,,Passenger ship,Passenger,,,22,-1,-1,-1,-1,-1,5,4,18,3,2,0,2.271875204980352,0.812736510056709,0.0,85.75972367157827,0.0
211377940,0,0,SELENE,,Passenger ship,Passenger,,,26,-1,-1,-1,-1,-1,7,6,20,3,4,0,4.700724576390651,0.1840029321379233,0.0,166.68513067749302,0.0
211771340,0,0,SEEHEILBAD ZINGST,,Passenger ship,Passenger,,,28,-1,-1,-1,-1,-1,8,8,20,3,5,0,1.7480026039185808,1.2483902146645078,28.420120034295515,53.20170822615986,0.0
211757540,7803205,0,KRONPRINS FREDERIK,,Passenger ship,Passenger,,,153,-1,-1,-1,-1,-1,23,28,125,20,3,0,6.064126793325488,5.187109079626875,97.1468017686572,159.80519085289566,-0.15254948069430646
211445220,0,0,SWINEMUENDE,,Passenger ship,Passenger,,,29,-1,-1,-1,-1,-1,10,10,19,8,2,0,0.6587268993839835,1.9075975359342916,0.0,47.841786447638604,0.0
211209510,8738108,0,MERKUR II,,Passenger ship,Passenger,,,29,-1,-1,-1,-1,-1,6,13,16,1,5,0,5.159552079230206,1.780735467897136,145.6525800461426,172.09635642338645,0.0
219009338,0,0,WIND SUPPORTER,,Passenger ship,Passenger,,,24,-1,-1,-1,-1,-1,6,14,10,4,2,0,3.4454317455129617,1.7584501253380134,139.45075434058023,165.47951412634927,2.4666767389300174e-07
211624750,0,0,BREITLING,,Passenger ship,Passenger,,,40,-1,-1,-1,-1,-1,11,20,20,0,11,0,2.2462240948602847,0.0001227308088153578,0.0,137.34148204699528,0.0
211240870,5337771,0,MS STADT KIEL,,Passenger ship,Passenger,,,28,-1,-1,-1,-1,-1,8,10,18,6,2,0,0.9490221977310107,2.9804776066664704,0.0,203.35417011950685,0.0
311541000,9000699,0,BRAEMAR,,Passenger ship,Passenger,,,196,-1,-1,-1,-1,-1,28,32,164,14,14,0,11.608551473823141,5.658309502859659,219.14298284205896,215.9987571491421,0.0
211549030,0,0,ADLER I,,Passenger ship,Passenger,,,14,-1,-1,-1,-1,-1,6,7,7,3,3,0,1.134832662805606,1.5700004421061935,0.0,75.06816835403863,0.0
211458210,0,0,SCHWENTINE,,Passenger ship,Passenger,,,25,-1,-1,-1,-1,-1,6,17,8,3,3,0,4.16136265016828,1.4837185767841947,0.0005857233760359407,211.34309467405723,0.0
211624870,0,0,WARNOW,,Passenger ship,Passenger,,,40,-1,-1,-1,-1,-1,11,20,20,11,0,0,2.6441804406015996,0.19291823384715498,0.0012619602778284424,134.67866942063205,0.0
211245200,9131797,0,MECKLENBURG VORPOMME,,Passenger ship,Passenger,,,200,-1,-1,-1,-1,-1,29,28,172,22,7,0,12.847072186080782,5.87155521053752,126.71409298315592,119.64868795264987,0.0
218795000,9087477,0,ROBIN HOOD,,Passenger ship,Passenger,,,179,-1,-1,-1,-1,-1,28,8,171,14,14,0,15.725236359228138,5.635705743968055,145.7561020268743,143.51711535037487,5.051085415117141e-07
266239000,9017769,0,FINNTRADER,,Passenger ship,Passenger,,,183,-1,-1,-1,-1,-1,30,11,172,15,15,0,17.229351597133103,6.681567009894756,128.2360613990705,127.62889415328327,0.0
230981000,9319442,0,FINNSTAR,,Passenger ship,Passenger,,,219,-1,-1,-1,-1,-1,32,22,197,12,20,0,20.52829173047722,6.955930723684851,149.36723990492635,149.28625805151012,-0.2877358551914967
211149000,8703232,0,TOM SAWYER,,Passenger ship,Passenger,,,177,-1,-1,-1,-1,-1,26,19,158,12,14,0,14.510996653753947,5.588116747410772,134.79093712565486,132.3440948479233,0.0
219016555,9594690,0,LOLLAND,,Passenger ship,Passenger,,,98,-1,-1,-1,-1,-1,18,49,49,9,9,0,6.028758595112864,2.6055872894619334,195.58219815193107,201.41473920137375,0.0
266456000,9319454,0,EUROPALINK,,Passenger ship,Passenger,,,214,-1,-1,-1,-1,-1,30,22,192,15,15,0,17.032031547423525,6.801820566985017,132.0997556359718,130.93555221734923,-0.2594092520234249
211354870,0,0,LABOE,,Passenger ship,Passenger,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,6.650065850697265,2.2741051278944013,168.61673065006985,162.81649434209893,0.0
219016938,9596428,0,LANGELAND,,Passenger ship,Passenger,,,98,-1,-1,-1,-1,-1,18,49,49,9,9,0,8.081928114780577,2.6585012038550455,203.84918014835603,202.8162435261529,0.0
266343000,9235517,0,STENA SCANDINAVICA,,Passenger ship,Passenger,,,243,-1,-1,-1,-1,-1,30,24,219,10,20,0,14.045461403174203,6.000426193150115,142.17644848459165,131.8894635503853,0.0
211604700,0,0,OSTSEEBAD WARNEMUEND,,Passenger ship,Passenger,,,40,-1,-1,-1,-1,-1,10,8,32,5,5,0,1.5423856913666902,0.19430462248069794,0.0,105.63583467027638,0.0
211226940,5104253,0,SEHO,,Passenger ship,Passenger,,,25,-1,-1,-1,-1,-1,8,11,14,6,2,0,3.828551823911308,1.9696908290132846,178.8208716708264,191.4381981228629,0.0
259222000,9349863,0,COLOR MAGIC,,Passenger ship,Passenger,,,224,-1,-1,-1,-1,-1,36,22,202,18,18,0,15.435424832688454,6.899999999999991,121.63130963033916,131.4301220649584,-0.7556679543248934
211228840,0,0,HAI 4,,Passenger ship,Passenger,,,24,-1,-1,-1,-1,-1,6,14,10,1,5,0,0.2907972222808536,2.4201616818287355,0.0,71.36003757097326,0.0
211224970,0,0,TANJA,,Passenger ship,Passenger,,,24,-1,-1,-1,-1,-1,7,15,9,1,6,0,4.239210577550764,0.0,0.0,138.77207015815938,0.0
247312900,9490052,0,AIDAMAR,,Passenger ship,Passenger,,,253,-1,-1,-1,-1,-1,38,46,207,19,19,0,11.708295845181004,7.2845096125281135,153.68149216992742,149.45959343037813,0.0
211226220,0,0,MONIKA,,Passenger ship,Passenger,,,24,-1,-1,-1,-1,-1,6,8,16,5,1,0,4.065466109552125,1.9305255090057236,0.0,170.97801478496285,0.0
211303110,0,0,MIRA,,Passenger ship,Passenger,,,26,-1,-1,-1,-1,-1,5,5,21,2,3,0,6.6759875730071645,1.3875055123156832,156.15155287781872,168.9454925209751,0.0
211392510,0,0,MECKLENBURG,,Passenger ship,Passenger,,,26,-1,-1,-1,-1,-1,8,13,13,4,4,0,5.129454950978114,0.0,0.0,206.37697597695276,0.0
277408000,9350721,0,VICTORIA SEAWAYS,,Passenger ship,Passenger,,,199,-1,-1,-1,-1,-1,26,15,184,13,13,0,19.711434738401508,6.109020982340256,165.74844674722513,164.81222566695558,0.00015222335196154113
211805980,0,0,VIKING SIGRUN,,Passenger ship,Passenger,,,135,-1,-1,-1,-1,-1,12,42,93,6,6,0,1.423311702841799,1.774786305661222,0.0,196.38456030431863,0.0
211130870,0,0,WAPPEN VON BREEGE,,Passenger ship,Passenger,,,40,-1,-1,-1,-1,-1,9,9,31,5,4,0,4.382648439887751,0.13347225695312717,155.25256314078518,91.28781362007169,0.0
230987000,9336268,0,FINNLADY,,Passenger ship,Passenger,,,219,-1,-1,-1,-1,-1,31,26,193,16,15,0,19.89370507111491,6.928432078324095,148.90169379968532,147.9361779295261,-0.21447751370363136
232017797,9822023,0,DAME VERA LYNN,,Passenger ship,Passenger,,,62,-1,-1,-1,-1,-1,19,31,31,3,16,0,3.2004205546063873,1.3888377798221403,190.671529329303,132.0669601787357,0.0
212499000,9087465,0,NILS DACKE,,Passenger ship,Passenger,,,179,-1,-1,-1,-1,-1,28,25,154,14,14,0,14.146811731315045,5.695348722800378,136.5524932198045,136.56368199306215,0.0
219000776,7826855,0,URD,,Passenger ship,Passenger,,,171,-1,-1,-1,-1,-1,20,30,141,10,10,0,14.654603704854395,5.151725160117091,154.66239022680048,154.00316514506738,0.0
277291000,8917390,0,PATRIA SEAWAYS,,Passenger ship,Passenger,,,154,-1,-1,-1,-1,-1,24,16,138,10,14,0,15.04978929819123,5.385135259670083,175.8399839146134,171.51321263708186,0.0
266331000,9145176,0,STENA GERMANICA,,Passenger ship,Passenger,,,240,-1,-1,-1,-1,-1,29,26,214,14,15,0,14.556038406798368,5.898291555843247,137.01314666589212,129.7826789046151,0.0
257182000,9278234,0,COLOR FANTASY,,Passenger ship,Passenger,,,224,-1,-1,-1,-1,-1,36,29,195,18,18,0,15.91288750432428,6.903680249221623,123.661715334551,126.16999965943533,-0.5920329379795913
211229400,0,0,BLAUORT,,Passenger ship,Passenger,,,24,-1,-1,-1,-1,-1,6,17,7,5,1,0,3.8084081247047714,0.0,0.0019427979337772563,172.4091094366648,0.0
211226990,7229186,0,FEODORA 2,,Passenger ship,Passenger,,,38,-1,-1,-1,-1,-1,7,13,25,2,5,0,4.38294782140936,1.6905863367401834,0.0,92.20268961807423,0.0
230982000,9319466,0,FINNMAID,,Passenger ship,Passenger,,,219,-1,-1,-1,-1,-1,31,27,192,15,16,0,20.787319371615997,6.958947997524028,147.21692659603988,147.23653691542575,-0.21924248137686683
211263680,0,0,ALEXANDRA,,Passenger ship,Passenger,,,37,-1,-1,-1,-1,-1,7,10,27,2,5,0,9.626,2.899999999999999,0.0,293.17375,0.0
