mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,mean_draught,mean_heading,mean_course,mean_ROT
211266470,8918590,0,AXEL,,Support ship,Tug,,,29,-1,-1,-1,-1,-1,10,10,19,4,6,0,0.6821606698816347,3.8205454511430887,163.61785617182503,136.57905794317628,0.0
219005465,36,0,SERVUS I PILOT BOAT,,Support ship,Pilot,,,17,-1,-1,-1,-1,-1,4,8,9,2,2,0,3.4557234103220487,1.596229507859745,195.53285657946475,225.5235404686276,0.0
211787800,9817195,0,PILOT KNURRHAHN,,Support ship,Pilot,,,15,-1,-1,-1,-1,-1,5,8,7,5,0,0,5.029448671475404,1.180895012982461,283.7098176992834,147.2788068471309,0.0
211223780,9107409,0,FAIRPLAY XII,,Support ship,Tug,,,28,-1,-1,-1,-1,-1,9,8,20,7,2,0,2.1341333806848,3.825242472166433,179.8513510912997,194.73635840395235,1.7494384302638854e-07
211222790,0,0,PILOT MUTTLAND,,Support ship,Pilot,,,15,-1,-1,-1,-1,-1,4,11,4,2,2,0,2.8951291218384694,1.358673029915027,180.62949598416947,226.17271629778674,0.0
211222680,8701284,0,BUELK,,Support ship,Tug,,,30,-1,-1,-1,-1,-1,9,11,19,7,2,0,0.4715975389193024,3.9578961698155406,84.53264383854689,244.91424504818113,0.0
211224660,0,0,ANTON,,Support ship,Tug,,,15,-1,-1,-1,-1,-1,5,5,10,3,2,0,5.504745922272477,2.8795039191208076,187.20802038352127,195.81863475431305,0.0
219022256,9812030,0,DANPILOT ALFA,,Support ship,Pilot,,,20,-1,-1,-1,-1,-1,6,17,3,3,3,0,11.702506372255929,1.4960036214911099,188.65858649816167,191.971967592468,2.48956767412555e-07
211288480,9032185,0,FAIRPLAY VI,,Support ship,Tug,,,27,-1,-1,-1,-1,-1,10,12,15,7,3,0,0.903245044285112,4.844508505553215,185.57587515816113,254.28495487136232,0.0
211216490,9021124,0,BUGSIER 16,,Support ship,Tug,,,29,-1,-1,-1,-1,-1,8,10,19,4,4,0,2.667396322717053,4.4091046108991305,174.5935928162735,180.25688528698547,3.529739822877656e-07
219024178,9839557,0,DANPILOT INDIA,,Support ship,Pilot,,,15,-1,-1,-1,-1,-1,5,12,3,2,3,0,8.037567622230599,1.4962623726715154,160.68555544033413,180.07679999414228,-0.00026162302852601347
211231520,9405693,0,KIEL,,Support ship,Tug,,,32,-1,-1,-1,-1,-1,14,13,19,7,7,0,0.8007071466665476,5.073753455958976,227.66099357565398,197.40632036042393,0.0
